TimestepsSoFar,MaxIW,TimeElapsed,EpThisIter,Weights,StdIW,EpLenMean,InitialBound,J_sample_variance,Bound,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,InitialReturnStd,EpRewMean,EpisodesSoFar,Iteration,EmpiricalD2,InitialReturnMean,ReturnMeanIW
303092,1.0993751,727.9307136535645,100,[-0.823 -0.499 -0.462 -0.752  0.014],0.032339934,38.69,-1048768740000000.0,203.69875,-1048768740000000.0,52.315163,0.9196843,1.005257,-19.749481,13.371584,-106.91851051931593,8400,84,1.0011472,3.5858154e-06,198.82687
306702,1.104612,735.606675863266,100,[-0.823 -0.5   -0.461 -0.752  0.014],0.025743285,36.1,-1382545800000000.0,209.79955,-1382545800000000.0,39.350338,0.92621356,1.0050482,-14.650681,11.83276,-108.67019149139051,8500,85,1.0006963,-8.850097e-06,220.37766
310354,1.160126,744.3355939388275,100,[-0.823 -0.5   -0.46  -0.753  0.014],0.057760395,36.52,-1313714000000000.0,249.63516,-1313714000000000.0,35.72478,0.8489366,1.0064597,-17.35057,12.514111,-107.79531249309355,8600,86,1.0028374,-4.119873e-06,215.55247
314014,1.1815932,752.8695890903473,100,[-0.824 -0.498 -0.46  -0.753  0.015],0.054138668,36.6,-1300357700000000.0,216.14963,-1300357700000000.0,35.399487,0.8831636,1.0061247,-14.618988,11.037436,-108.73718765222856,8700,87,1.0032551,1.1444092e-06,216.45564
317688,1.2121195,761.2242586612701,100,[-0.824 -0.497 -0.46  -0.756  0.014],0.076111786,36.74,-1138408700000000.0,317.87134,-1138408700000000.0,47.012947,0.8146763,1.0069441,-16.1279,12.453791,-106.95771312783178,8800,88,1.0043855,5.455017e-06,212.50963
321548,1.2229472,769.8881886005402,100,[-0.823 -0.495 -0.461 -0.757  0.013],0.07744504,38.6,-1222979300000000.0,357.73657,-1222979300000000.0,51.544075,0.8370372,1.0055802,-19.84224,13.66892,-107.65567891411376,8900,89,1.0055486,8.010864e-07,200.72272
325140,1.2124423,778.7099440097809,100,[-0.824 -0.496 -0.461 -0.754  0.014],0.06590987,35.92,-1222979300000000.0,326.68524,-1222979300000000.0,43.75184,0.7511529,1.0048716,-15.172577,12.471255,-107.84518799849862,9000,90,1.0039694,-5.569458e-06,219.8039
328722,1.133849,786.8300471305847,100,[-0.824 -0.496 -0.46  -0.752  0.014],0.030851252,35.82,-1546720500000000.0,200.84212,-1546720500000000.0,32.319546,0.9005112,1.0048072,-16.24276,11.963334,-107.37355760515881,9100,91,1.0011361,-6.1035155e-07,219.94049
332215,1.116936,794.9048628807068,100,[-0.825 -0.497 -0.459 -0.754  0.015],0.028948257,34.93,-1611066000000000.0,196.67973,-1611066000000000.0,38.214718,0.9131029,1.0058216,-16.184341,12.079439,-106.99690029221277,9200,92,1.0011879,-4.272461e-06,226.32439
335575,1.0946281,803.2097654342651,100,[-0.826 -0.497 -0.459 -0.756  0.013],0.020144708,33.6,-1354597400000000.0,158.48976,-1354597400000000.0,38.84751,0.94366765,1.004378,-14.542786,11.388736,-108.35712506527757,9300,93,1.0004511,-3.8146972e-08,240.06334
