MinIWNorm,J_sample_variance,OptimizationReturnMin,InitialReturnMax,Iteration,InitialReturnStd,EpThisIter,ESSClassic,VarianceInit,TimeElapsed,OptimizationReturnMax,EpLenMean,EpisodesSoFar,EmpiricalD2,MeanIWNorm,InitialReturnMean,OptimizationReturnMean,MeanIW,TimestepsSoFar,MaxIW,EpRewMean,Bound,InitialBound,MaxIWNorm,ESSRenyi,Weights,InitialReturnMin,StdIW,StdIWNorm,LearnableVariance,ReturnMeanIW,MinIW,MeanEntropy,ReturnStepMaxmin,ReturnStepMax
0.0032528269,1629728.0,,2649.4258,46,436.2168,50,27.50219,-1,1513.8518743515015,2409.6792,141.56,2300,1.6320223,0.024993394,1405.2834,1165.5367,1.2496696,249487,4.9245095,1405.2834054481511,1085.8516,946.3894,0.098490186,30.636837,[-0.378  0.767 -1.304 -1.504 -1.419],239.74657,1.1302686,0.02260537,True,1672.0916,0.16264135,-0.041652687,10.0,10.0
0.00015420526,3007395600.0,,2649.7898,47,403.54794,50,1.4286135,-1,1550.4513018131256,2200.0957,139.46,2350,97.62922,0.11916112,1384.292,934.598,5.958056,256460,248.41138,1384.2920505690593,7094.3125,925.3351,4.9682274,0.51214176,[-0.381  0.765 -1.305 -1.5   -1.461],449.69403,34.740612,0.6948122,True,11629.152,0.0077102636,0.0051802997,10.0,10.0
0.0012041085,57627584.0,,4239.4326,48,739.6232,50,11.969498,-1,1597.5828154087067,4229.4487,163.12,2400,3.50999,0.029813968,1620.8665,1610.8828,1.4906982,264616,17.460064,1620.8664848553644,1595.3752,886.5753,0.34920126,14.245055,[-0.341  0.761 -1.317 -1.532 -1.414],9.983683,2.657161,0.05314321,True,2971.0676,0.060205426,-0.013834976,10.0,10.0
0.0032012288,10567409.0,,4378.3945,49,729.02875,50,27.598494,-1,1635.8939979076385,4158.6094,169.74,2450,1.5962126,0.023486502,1686.9889,1467.2037,1.1743252,273103,5.9691334,1686.9889896460497,1128.2994,928.62885,0.119382665,31.324148,[-0.345  0.795 -1.339 -1.507 -1.433],219.78513,1.0579967,0.021159936,True,2086.4216,0.16006145,-0.01355925,10.0,10.0
0.007708216,811233.3,,2759.455,50,400.7429,50,41.25303,-1,1668.3427937030792,2329.7646,158.62,2500,1.2622355,0.021670638,1575.8141,1146.1237,1.0835319,281034,2.5670967,1575.8140621887871,1186.3505,1097.8624,0.051341932,39.61226,[-0.361  0.812 -1.334 -1.493 -1.432],429.69043,0.49893326,0.009978665,True,1723.3256,0.38541082,-0.020833047,10.0,10.0
0.004079089,5837955.0,,3639.6484,51,622.4982,50,25.785538,-1,1707.817024230957,3629.6675,154.28,2550,1.7059495,0.025106575,1532.4211,1522.4403,1.2553288,288748,6.5241766,1532.421056688967,1216.1998,902.0153,0.13048352,29.30919,[-0.373  0.823 -1.336 -1.488 -1.44 ],9.980869,1.2164854,0.024329707,True,2039.5852,0.20395446,0.016647357,10.0,10.0
0.0011976457,18401894.0,,2449.4653,52,467.08517,50,14.058701,-1,1743.108231306076,2069.7612,143.5,2600,2.7433348,0.027823007,1424.5948,1044.891,1.3911504,295923,15.67284,1424.5948957293858,1547.8484,1000.335,0.3134568,18.225992,[-0.379  0.836 -1.35  -1.493 -1.402],379.70398,2.2243257,0.044486508,True,2250.5505,0.059882283,0.007772962,10.0,10.0
0.0066716755,2758747.0,,2869.5312,53,609.21436,50,36.115337,-1,1781.1174132823944,2659.7114,165.28,2650,1.3830341,0.021131303,1642.2847,1432.4648,1.056565,304187,4.0957994,1642.284665847298,1295.4932,1145.2671,0.08191599,36.152397,[-0.347  0.814 -1.327 -1.456 -1.411],209.81982,0.6551157,0.013102314,True,1879.9979,0.33358377,-0.021277478,10.0,10.0
3.6398364e-05,4072752000.0,,3179.6223,54,656.9306,50,1.5844902,-1,1813.309506893158,3169.6409,159.74,2700,56.016483,0.084628016,1586.9725,1576.991,4.231401,312174,167.47536,1586.972395888673,6323.8457,1036.2456,3.349507,0.8925944,[-0.351  0.821 -1.332 -1.451 -1.44 ],9.981503,23.390078,0.46780154,True,10445.714,0.0018199182,-0.047280908,10.0,10.0
0.0018568232,12864520.0,,3849.5244,55,592.182,50,21.274155,-1,1847.6590321063995,3459.882,159.96,2750,2.887706,0.027598405,1589.0698,1199.4276,1.3799202,320172,6.338341,1589.0698912080761,1425.4216,922.3126,0.12676682,17.314781,[-0.316  0.834 -1.355 -1.439 -1.466],389.64227,1.6034825,0.03206965,True,2558.459,0.09284116,-0.044672277,10.0,10.0
