EpThisIter,entloss,J_hat,EpisodesSoFar,meankl,DiscEpRewMean,Step_size,Var_J,EpLenMean,TimestepsSoFar,TimeElapsed,optimgain,surrgain,SampleRenyi2,entropy,EpRewMean,ev_tdlam_before
100,,62.6416130065918,17000,0.0090009,63.0342016512,1.0,0.03350425511598587,500.0,8500000,13579.861814022064,0.0048877,0.0048877,4828.12,0.327757,180.645845581,0.899480707943
100,,62.870262145996094,17100,0.0103447,63.1148594809,1.0,0.04470134526491165,500.0,8550000,13679.386225700378,0.00478091,0.00478091,1076.0,0.288845,181.015347848,0.90782314539
100,,63.62496566772461,17200,0.00955805,63.0454323594,1.0,0.11293787509202957,500.0,8600000,13779.970326662064,0.00496642,0.00496642,23529.4,0.295906,180.98623129,0.90781390667
100,,63.01417541503906,17300,0.00938002,62.9613011515,1.0,0.011247034184634686,500.0,8650000,13878.801894903183,0.0048907,0.0048907,9432.43,0.311525,180.707543371,0.895275555551
100,,63.25185012817383,17400,0.00952298,63.1097274549,1.0,0.051658496260643005,500.0,8700000,13995.23440003395,0.00469972,0.00469972,11951.5,0.321413,180.968733175,0.91654176265
100,,62.87071228027344,17500,0.00997642,63.0348666411,1.0,0.015061885118484497,500.0,8750000,14106.295976877213,0.0039241,0.0039241,11042.3,0.295256,181.069714445,0.911504715681
100,,63.47928237915039,17600,0.0103548,63.0264428639,1.0,0.04525065794587135,500.0,8800000,14312.481016874313,0.00433881,0.00433881,2463.54,0.244596,180.64776003,0.900203794241
100,,63.029510498046875,17700,0.00989575,63.0615330911,1.0,0.05863654613494873,500.0,8850000,14512.495379924774,0.00404982,0.00404982,5825.73,0.208204,180.729650764,0.909838356078
100,,63.06980895996094,17800,0.00973848,63.198732583,1.0,0.0527912899851799,500.0,8900000,14685.709456920624,0.00481554,0.00481554,4251.24,0.193189,181.167563215,0.919412463903
100,,62.483089447021484,17900,0.00949615,63.1052258554,1.0,0.08602793514728546,500.0,8950000,14876.73969244957,0.00518503,0.00518503,76808.2,0.228272,181.130988338,0.925074718893
100,,63.35611343383789,18000,0.0108108,63.1877847973,1.0,0.03502539172768593,500.0,9000000,15250.476461410522,0.00429998,0.00429998,3.90499e+06,0.19706,180.706588998,0.891374029219
100,,63.585960388183594,18100,0.0102113,63.0377418282,1.0,0.03731780871748924,500.0,9050000,15475.037922143936,0.00569231,0.00569231,16032.6,0.169603,180.70961189,0.892628096044
100,,62.52107238769531,18200,0.0101432,63.204028938,1.0,0.2147013545036316,500.0,9100000,15754.83237862587,0.00421221,0.00421221,15219.8,0.180297,180.586581229,0.88945440203
100,,63.6749382019043,18300,0.00988286,63.2079202327,1.0,0.016207847744226456,500.0,9150000,15999.145610809326,0.00457645,0.00457645,6017.13,0.163754,180.858147934,0.911568455398
100,,63.731754302978516,18400,0.00963202,63.1521509421,1.0,0.03328000009059906,500.0,9200000,16310.23015999794,0.00574462,0.00574462,511616.0,0.13295,180.931674318,0.911944769323
100,,63.132606506347656,18500,0.00975552,63.1357191509,1.0,0.01673097535967827,500.0,9250000,16598.615242004395,5.86518e-05,5.86518e-05,160.786,0.136662,181.066831098,0.881412222981
100,,63.145896911621094,18600,0.00875883,63.015092235,1.0,0.00939924269914627,500.0,9300000,16966.705305814743,0.0125726,0.0125726,5406.18,0.139949,180.273407524,0.91569391638
100,,62.669822692871094,18700,0.00909424,62.9469143586,1.0,0.15075331926345825,500.0,9350000,17233.081372737885,0.00677642,0.00677642,207.324,0.125077,180.15030704,0.939379014075
100,,62.79270935058594,18800,0.010173,62.9618688152,1.0,0.004851259291172028,500.0,9400000,17496.483466148376,0.00766312,0.00766312,15348.6,0.131405,180.489039587,0.91798967123
100,,63.130958557128906,18900,0.009963,63.1141062303,1.0,0.056688010692596436,500.0,9450000,17762.22128868103,0.00704212,0.00704212,846.177,0.102338,180.951264621,0.932708740234
100,,63.120384216308594,19000,0.00973443,63.0660982906,1.0,0.028172586113214493,500.0,9500000,18009.932079076767,0.00751333,0.00751333,252.514,0.0941412,180.955808461,0.92121835053
100,,63.27702713012695,19100,0.00993564,63.0868342341,1.0,0.056348737329244614,500.0,9550000,18492.002755880356,0.0065725,0.0065725,4383.2,0.134784,180.74718388,0.945042043924
100,,63.101531982421875,19200,0.0101751,62.9851980326,1.0,0.0979439914226532,500.0,9600000,18826.401366233826,0.00561344,0.00561344,1679.6,0.121663,180.899390371,0.935319244862
100,,63.41764831542969,19300,0.0108516,63.1115054039,1.0,0.026751600205898285,500.0,9650000,19190.027136087418,0.00613178,0.00613178,2.93756e+06,0.104511,181.39374102,0.940877228975
100,,64.07854461669922,19400,0.00920785,63.0345322611,1.0,0.12773068249225616,500.0,9700000,19446.238434791565,0.0048281,0.0048281,4874.37,0.088562,180.890219755,0.907175309956
100,,63.90825653076172,19500,0.0102991,63.1616796322,1.0,0.0016748795751482248,500.0,9750000,19717.616286754608,0.00521751,0.00521751,30169.0,0.122741,181.293830589,0.934144102037
100,,63.17839431762695,19600,0.0107232,63.0454485362,1.0,0.06693871319293976,500.0,9800000,20048.079221487045,0.00525697,0.00525697,278771.0,0.0942131,181.372631091,0.943071011454
100,,63.13902282714844,19700,0.00917755,63.0746578594,1.0,0.0772760659456253,500.0,9850000,20289.41270518303,0.00427705,0.00427705,11308.2,0.125408,181.283518608,0.930852867663
100,,64.4151382446289,19800,0.0101178,63.1033047452,1.0,0.048211924731731415,500.0,9900000,20564.698131799698,0.00538329,0.00538329,11100.5,0.161925,181.215594499,0.941042728722
100,,63.471702575683594,19900,0.0103951,63.0912082133,1.0,0.09681961685419083,500.0,9950000,20797.24407839775,0.00571825,0.00571825,19367.2,0.15057,180.838782398,0.927896246314
100,,64.21528625488281,20000,0.010396,63.031444502,1.0,0.11612231284379959,500.0,10000000,20994.237061738968,0.00592596,0.00592596,74536.0,0.116212,181.431863285,0.924100734293
100,,63.573020935058594,20100,0.00972364,63.0643816019,1.0,0.04212181642651558,500.0,10050000,21186.36171579361,0.0261129,0.0261129,253.221,0.12535,181.545028276,0.94218569994
100,,63.17314910888672,20200,0.00942915,63.2878853547,1.0,0.1493167132139206,500.0,10100000,21394.795041799545,0.00813314,0.00813314,4.9164e+06,0.0801028,181.673536784,0.942730918527
100,,63.074703216552734,20300,0.0111025,62.9805064548,1.0,0.3089433014392853,500.0,10150000,21591.264262199402,0.00579132,0.00579132,241345.0,0.0874691,181.111019776,0.93818128109
100,,63.443973541259766,20400,0.0109988,63.1693520287,1.0,0.07208755612373352,500.0,10200000,21790.25198698044,0.00529478,0.00529478,858805.0,0.0367431,181.313601553,0.928849257529
100,,63.94538879394531,20500,0.0090659,63.1096488729,1.0,0.11117144674062729,500.0,10250000,21981.312304496765,0.00474825,0.00474825,5767.09,0.0696191,180.858176728,0.927395284176
100,,63.748756408691406,20600,0.0103084,63.152200461,1.0,0.044226549565792084,500.0,10300000,22182.00243663788,0.00481606,0.00481606,19609.3,0.0604941,181.51330314,0.940986108035
