MaxIW,Weights,EpThisIter,EpisodesSoFar,J_sample_variance,InitialReturnMax,ReturnStepMax,InitialReturnMean,MinIW,EmpiricalD2,Bound,MeanIW,InitialReturnStd,MinD2w0t,MaxD2w0t,StdIW,ReturnStepMaxmin,TimestepsSoFar,MeanD2w0t,InitialReturnMin,Iteration,ReturnMeanIW,EntropyCoefficient,EpRewMean,MeanEntropy,StdD2w0t,EpLenMean,TimeElapsed,InitialBound
77.25578,[-1.074 -0.679 -0.326 -0.488 -0.806],100,4800,756.74536,39.39077,100.0,3.2424927e-07,0.016020214,11.2563925,17.449102,0.96002245,19.330616,,52.88173,2.0111089,98.20853,1278128,3.0327835,-45.94154,48,11.235715,10.0,-94.20164467734685,0.6213387,6.237761,238.04,2547.20699262619,15.092839
103.72718,[-1.077 -0.69  -0.319 -0.502 -0.798],100,4900,2148.7131,45.578903,100.0,5.340576e-07,6.186508e-05,1208.0983,21.907623,0.94509417,20.513474,,12462.234,2.880307,98.23767,1302041,145.53688,-39.980408,49,15.672913,10.0,-91.14825231602208,0.623471,716.8835,239.13,2596.056611061096,15.228677
241.0207,[-1.054 -0.679 -0.32  -0.482 -0.796],100,5000,8474.371,37.33964,100.0,2.269745e-06,5.242765e-11,516964540000000.0,30.24526,0.93023616,18.37839,,4.9532544e+16,7.1097045,98.27934,1327748,3692149900000.0,-40.901875,50,24.08319,10.0,-92.6288939329865,0.6162069,308611720000000.0,257.07,2646.853185892105,14.111804
2576.1396,[-1.026 -0.691 -0.34  -0.504 -0.803],100,5100,396494.38,38.932487,100.0,6.8664554e-07,1.129708e-16,2.2305979e+18,80.97219,1.427238,19.668251,,6.4427485e+19,29.83239,98.30559,1353466,5.1595395e+16,-43.8152,51,74.61724,10.0,-89.29468817195229,0.6354949,inf,257.18,2697.7750959396362,14.4218235
13221.571,[-0.957 -0.684 -0.347 -0.489 -0.783],100,5200,5446420.0,33.401405,100.0,-6.8664554e-07,1.4492069e-32,inf,249.21365,3.1952534,18.703686,,inf,125.77104,98.403366,1379887,nan,-45.364983,52,242.94365,10.0,-78.81820162913554,0.62700105,nan,264.21,2751.2229833602905,10.810595
12900.51,[-0.915 -0.708 -0.267 -0.498 -0.792],100,5300,4632002.5,26.451614,100.0,-1.5640259e-06,5.6744296e-14,2.2554726e+18,222.52277,8.960554,14.733124,,1.992813e+20,237.92993,98.42993,1409396,4.163196e+16,-37.741806,53,216.24884,10.0,-84.11185811711613,0.62739265,inf,295.09,2811.437131881714,10.736635
7968.5913,[-0.928 -0.786 -0.258 -0.522 -0.792],100,5400,2697847.5,23.838701,100.0,-3.4332277e-07,,inf,164.80414,0.57567877,15.491882,,inf,49.376415,98.537964,1446730,nan,-45.755905,54,158.04442,10.0,-86.24906442803223,0.67597264,nan,373.34,2886.250393629074,5.8786764
496.9391,[-0.93  -0.767 -0.308 -0.564 -0.743],100,5500,49186.62,41.47534,100.0,-2.1934509e-06,5.5961918e-33,inf,41.468506,0.5134089,21.90287,,inf,10.257816,98.413025,1472585,nan,-42.283188,55,34.710693,10.0,-75.8810893095367,0.6757812,nan,258.55,2938.8906972408295,8.8117285
133.81358,[-0.96  -0.799 -0.282 -0.535 -0.743],100,5600,4921.331,29.56475,100.0,2.269745e-06,8.384773e-11,55879644.0,16.932056,0.8437253,12.766482,,409148960.0,3.886294,98.5202,1508003,2868815.5,-36.54654,56,10.4334955,10.0,-84.96703702216917,0.649856,15715655.0,354.18,3008.14103102684,7.430709
48.357246,[-0.981 -0.789 -0.275 -0.552 -0.769],100,5700,1888.987,28.13821,100.0,1.14440915e-07,3.483583e-09,96399920.0,13.625246,0.4196115,16.281416,,8526425000.0,1.8123982,98.40468,1537517,3876426.2,-40.953163,57,7.2489195,10.0,-87.85181327859408,0.63763267,119862060.0,295.14,3064.61443567276,9.211765
4068.8909,[-0.968 -0.792 -0.243 -0.556 -0.781],100,5800,2184918.5,26.118622,100.0,-6.4849854e-07,6.5517923e-21,1.2643142e+28,155.90408,2.0261588,17.322931,,3.186696e+29,50.593998,98.43033,1568353,2.2617938e+26,-45.05902,58,149.17113,10.0,-87.83253731632574,0.6732951,inf,308.36,3126.1496710777283,10.948629
223.2033,[-1.017 -0.838 -0.268 -0.54  -0.746],100,5900,1280.5507,20.923355,100.0,3.2806397e-06,1.4100089e-14,7714782600000.0,12.96356,0.36251837,8.959169,,49659510000000.0,3.394082,98.55299,1612807,247067890000.0,-22.365622,59,6.1013494,10.0,-99.35615251589881,0.686221,1631149800000.0,444.54,3212.3032097816467,5.236887
383.7024,[-0.999 -0.8   -0.27  -0.547 -0.733],100,6000,3753.1677,30.145006,100.0,-1.1825562e-06,2.4896825e-15,3.428294e+17,14.622783,0.50691813,15.089447,,3.3781145e+19,5.067952,98.43341,1645245,1.5154219e+16,-40.81064,60,7.990076,10.0,-91.89534139460942,0.66327065,inf,324.38,3277.4451866149902,9.328213
100.31292,[-0.985 -0.846 -0.289 -0.544 -0.756],100,6100,102.27782,16.22889,100.0,-8.5830686e-07,1.431008e-08,8103991.5,4.4109397,0.76273704,8.727952,,238072530.0,3.5238001,98.586975,1689333,376906.06,-41.83709,61,-2.230146,10.0,-91.04785338467383,0.6641086,3971473.2,440.88,3361.7682745456696,2.6802983
2288.46,[-0.975 -0.85  -0.309 -0.551 -0.755],100,6200,2504451.5,35.389503,100.0,5.531311e-07,,inf,188.01822,0.7662873,14.22277,,inf,27.500038,98.526596,1727146,nan,-42.037346,62,181.15343,10.0,-89.50334250448394,0.68647885,nan,378.13,3435.0240943431854,4.586832
167.02684,[-0.972 -0.852 -0.346 -0.626 -0.732],100,6300,1622.3477,42.532143,100.0,1.6021728e-06,1.5407471e-07,1410499700.0,18.815271,0.85251343,23.224401,,59538944000.0,4.0641856,98.349945,1751782,47707708.0,-42.679764,63,11.732568,10.0,-80.07351964583792,0.7082704,644437250.0,246.36,3485.3907384872437,9.2638035
7079.4004,[-0.998 -0.861 -0.335 -0.614 -0.711],100,6400,117942.1,30.888794,100.0,2.2506713e-06,2.4017767e-16,5.3496666e+22,57.191677,3.3236327,19.605658,,5.348702e+24,109.23351,98.48732,1780845,5.0208475e+20,-45.693726,64,50.262856,10.0,-74.49971439558975,0.69288206,inf,290.63,3542.7883932590485,8.243928
347.32477,[-1.019 -0.986 -0.38  -0.676 -0.726],100,6500,65417.324,22.619438,100.0,1.5258789e-07,3.934577e-17,1.3600308e+29,27.77435,0.4371212,15.045172,,8.406694e+30,7.1529665,98.604904,1814671,1.2565013e+27,-48.73159,65,20.540207,10.0,-66.82153111614376,0.72341424,inf,338.26,3609.329886674881,6.1090035
269.3004,[-0.999 -1.034 -0.347 -0.669 -0.696],100,6600,3259.4666,24.50732,100.0,1.8692017e-06,4.895569e-09,371175260.0,10.300172,0.6557968,11.085712,,7764494300.0,6.903494,98.61267,1858825,18527076.0,-44.763958,66,3.335448,10.0,-85.51182532842398,0.69647235,220137470.0,441.54,3693.634105682373,4.3304577
257.0424,[-1.    -1.032 -0.325 -0.687 -0.722],100,6700,406.88684,20.059784,100.0,-8.010864e-07,5.114821e-07,79058.875,9.517807,1.1390476,11.982603,,390871.4,6.790701,98.63597,1900831,5600.634,-44.25319,67,2.427854,10.0,-76.45662511811312,0.7089952,20090.65,420.06,3771.6431312561035,5.029776
101.3168,[-0.99  -1.038 -0.335 -0.709 -0.71 ],100,6800,447.3536,26.277084,100.0,1.4877319e-06,5.45026e-06,53931.26,6.7453637,1.1490997,15.590485,,325884.62,4.0337787,98.59158,1934883,4598.124,-43.289448,68,-0.336866,10.0,-69.53576247634619,0.708223,17979.13,340.52,3837.0712485313416,5.009516
571.65875,[-0.99  -1.065 -0.343 -0.705 -0.711],100,6900,34024.13,29.812954,100.0,-1.7547608e-06,6.067083e-14,8.519798e+17,22.381758,0.82086974,13.006777,,3.451911e+19,9.041295,98.58714,1975226,9407196000000000.0,-44.995316,69,15.299457,10.0,-83.27958781334344,0.70823014,inf,403.43,3916.262348651886,5.341002
45.231827,[-0.969 -1.069 -0.372 -0.72  -0.711],100,7000,1428.2229,28.521925,100.0,3.0517577e-07,1.4323666e-06,20236.217,5.4194937,0.8848212,14.82535,,595231.8,2.5050504,98.63464,2012223,1467.7533,-48.21889,70,-1.6632167,10.0,-67.58569654567398,0.708271,13829.447,369.97,3989.0694086551666,3.8975985
186.67554,[-0.96  -1.069 -0.389 -0.72  -0.711],100,7100,25619.348,22.82244,100.0,-2.07901e-06,1.7063397e-24,inf,20.740618,0.2558194,14.502437,,inf,3.721719,98.614044,2048814,inf,-43.345695,71,13.982798,10.0,-70.6114778027245,0.675782,nan,365.91,4061.0212483406067,6.3246384
25.653694,[-0.94  -1.058 -0.437 -0.714 -0.743],100,7200,716.1075,32.235764,100.0,1.5258789e-07,4.407939e-07,630420.6,13.8537855,0.6329699,19.855028,,14832326.0,1.0802454,98.48012,2077725,33873.645,-46.331593,72,6.8322735,10.0,-75.15159243918666,0.7021512,395780.56,289.11,4117.236227273941,7.2433715
1646.9064,[-0.964 -1.048 -0.425 -0.702 -0.717],100,7300,949798.0,26.256845,100.0,-1.9073487e-07,1.1723897e-19,inf,114.96853,1.8644258,17.538464,,inf,33.95535,98.58197,2112512,inf,-46.259308,73,107.69805,10.0,-72.71118188949238,0.7270475,nan,347.87,4185.540518760681,5.365961
437592.0,[-0.994 -1.033 -0.489 -0.692 -0.692],100,7400,126358390.0,41.04386,100.0,-3.2043456e-06,1.6073984e-15,4.0109274e+17,1140.1672,229.44002,20.460722,,1.9580283e+19,4976.1997,98.2982,2138051,9665795000000000.0,-47.25853,74,1133.4803,10.0,-89.61689772488832,0.6686933,inf,255.39,4238.538418769836,14.157052
1029.2238,[-0.995 -1.016 -0.51  -0.642 -0.75 ],100,7500,314726.72,32.337547,100.0,-2.0599366e-06,2.7755823e-19,3.9010194e+21,84.440895,2.434947,18.360437,,2.0329427e+23,28.354797,98.48071,2172973,6.988489e+19,-45.37359,75,77.97056,10.0,-90.67153720237559,0.6470336,inf,349.22,4309.803892374039,7.5197783
