EpisodesSoFar,Bound,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,InitialReturnMin,MaxIW,InitialReturnStd,J_sample_variance,ReturnMeanIW,MeanIWNorm,EmpiricalD2,TimeElapsed,MaxIWNorm,TimestepsSoFar,EpRewMean,EpLenMean,MeanIW,StdIWNorm,MinIW,EpThisIter,Iteration,InitialBound,StdIW,ESSRenyi,Weights
6200,-0.24225804,5.569458e-06,0.009998186,7.268265,99.999985,-4.197975,1.0001098,2.5978086,6.8169465,1.7225742e-05,0.010000003,0.99999803,335.35367703437805,0.010001098,105051,-107.9620005516891,16.34,1.0000004,4.696802e-07,0.9998186,100,62,-0.24226995,4.6968464e-05,100.0002,[ 0.653  0.379  1.051  0.122 -0.637]
6300,0.97280097,-1.6784668e-06,5.7730133e-05,7.3968277,22.869228,-3.8148193,18.8701,2.566309,225.61711,1.6052258,0.012329739,6.579143,340.0829646587372,0.18870099,106643,-107.85378858415504,15.92,1.2329738,0.022643412,0.0057730135,100,63,-0.24656263,2.2643416,15.199548,[ 0.653  0.379  1.051  0.122 -0.637]
6400,-0.23747225,3.8146973e-07,0.009999959,7.124199,100.0,-3.6144104,1.000006,2.3200438,5.436971,1.0579824e-06,0.01,1.0,346.4240462779999,0.010000059,108232,-107.97592882253288,15.89,1.0,1.945506e-08,0.99999595,100,64,-0.23747297,1.9405775e-06,100.0,[ 0.684  0.414  0.997  0.161 -0.668]
6500,-0.24916765,-9.536743e-06,0.0099981185,7.4754257,99.99998,-4.0235825,1.0002211,2.4961815,6.2938724,1.321733e-05,0.010000036,1.0,351.3721926212311,0.010002211,109861,-107.93405952442568,16.29,1.0000035,8.7819103e-07,0.9998119,100,65,-0.24919038,8.78197e-05,100.0,[ 0.684  0.414  0.997  0.161 -0.668]
6600,-0.24337447,1.0681152e-06,0.009997841,7.3018723,99.99998,-4.016472,1.00017,2.396603,5.8016276,2.130121e-05,0.009999939,1.0,356.44847774505615,0.010001699,111446,-108.01527717129055,15.85,0.9999939,7.7634166e-07,0.9997841,100,66,-0.2433947,7.763681e-05,100.0,[ 0.684  0.414  0.997  0.161 -0.668]
6700,-0.2484202,7.6293944e-08,0.009999743,7.4526978,100.0,-3.7417831,1.0000314,2.4443703,6.035297,3.0845404e-06,0.009999996,1.0,361.5164818763733,0.010000314,113024,-107.97327014146087,15.78,0.99999964,1.2392117e-07,0.99997425,100,67,-0.24842322,1.2389139e-05,100.0,[ 0.684  0.414  0.997  0.161 -0.668]
6800,-0.24423006,-7.5531007e-06,0.01,7.3266754,100.0,-4.3306427,1.0,2.657603,7.1341953,-7.5399876e-06,0.010000002,1.0,366.2964653968811,0.01,114633,-107.60093396070357,16.09,1.0,1.8626451e-09,1.0,100,68,-0.24423006,,100.0,[ 0.684  0.414  0.997  0.161 -0.668]
6900,1.9924586,1.04522705e-05,0.00075013516,8.038261,9.974949,-3.8057861,33.712994,2.7725449,741.60785,2.7598443,0.011324271,8.20249,371.3875343799591,0.33712992,116281,-108.23356410628793,16.48,1.1324271,0.034020178,0.07501352,100,69,-0.26793164,3.4020178,12.191421,[ 0.684  0.414  0.997  0.161 -0.668]
7000,-0.16494521,1.1444092e-06,0.0041616852,7.497566,88.31887,-4.228874,2.2444875,2.728165,10.717205,0.10504382,0.011029866,1.1670624,377.97819089889526,0.022444874,117937,-108.21508130998613,16.56,1.1029866,0.004011307,0.4161685,100,70,-0.24991775,0.40113065,85.68522,[ 0.698  0.433  0.945  0.166 -0.536]
7100,-0.11528318,-3.0517577e-07,0.0029437952,7.6935577,89.80235,-4.054619,2.5481236,2.7176733,10.28412,0.15770413,0.010529128,1.1331124,382.98912620544434,0.025481235,119571,-107.83296098649858,16.34,1.0529127,0.0035481208,0.29437953,100,71,-0.25645223,0.3548121,88.252495,[ 0.696  0.426  0.934  0.17  -0.534]
7200,0.3141303,-2.2125244e-06,0.0001803586,8.515953,26.877928,-3.9336777,14.86793,2.8512683,78.098946,0.8978189,0.012261769,4.228034,388.54874086380005,0.1486793,121228,-108.21960008942123,16.57,1.2261769,0.02022458,0.01803586,100,72,-0.2838673,2.022458,23.651655,[ 0.7    0.418  0.938  0.183 -0.537]
7300,1.443475,-4.577637e-06,0.00017614212,8.50074,13.040027,-4.3157043,24.837797,2.6614842,339.6444,2.3609512,0.013290281,10.483799,393.8866357803345,0.24837796,122872,-107.92700710291389,16.44,1.3290281,0.03432058,0.017614212,100,73,-0.28336257,3.4320586,9.5385275,[ 0.693  0.384  0.932  0.198 -0.548]
7400,88.44298,-1.4495849e-06,3.0822083e-08,8.289589,1.2075938,-4.409027,2435.7056,2.5193665,1433895.2,115.95205,0.26859587,9911.249,399.2230670452118,24.357056,124495,-107.58340929969613,16.23,26.859587,2.4294095,3.0822084e-06,100,74,-0.27632105,242.94095,0.0100895455,[ 0.663  0.325  0.976  0.209 -0.541]
7500,7.443562,-5.4931643e-06,2.4918792e-05,8.7421875,2.0601208,-4.0071793,338.2847,2.6634467,10530.858,11.084562,0.048919152,156.11464,405.69664788246155,3.3828468,126110,-107.79773566337298,16.15,4.891916,0.33729693,0.0024918793,100,75,-0.2914118,33.729694,0.6405549,[ 0.739  0.417  0.854  0.182 -0.632]
7600,0.3987095,-4.8065185e-06,0.0018792866,6.910286,46.67019,-3.6585083,9.278393,2.4603574,33.698753,0.7352882,0.011040716,2.1351268,412.37631130218506,0.09278393,127722,-107.66583927029697,16.12,1.1040719,0.011802191,0.18792866,100,76,-0.2303477,1.180219,46.835625,[ 0.734  0.409  0.946  0.282 -0.585]
