MaxIW,Bound,ReturnStepMaxmin,MinIW,MeanIW,EpRewMean,ESSClassic,MaxIWNorm,ESSRenyi,TimestepsSoFar,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialReturnStd,InitialBound,Weights,ReturnMeanIW,MinIWNorm,StdIW,EmpiricalD2,MeanIWNorm,Iteration,J_sample_variance,TimeElapsed,EpLenMean,EpThisIter,EpisodesSoFar,StdIWNorm,InitialReturnMin
298.58942,39.05725,99.00005,0.00047168473,3.589738,-176.10206606480267,1.4398582,2.9858942,0.5647754,363710,18.469511,-1.7929077e-06,100.0,10.813979,-1.1445267,[ 0.047 -0.649  0.001 -0.29  -0.111],54.286808,4.7168473e-06,29.699799,177.06154,0.035897378,47,304297.8,639.3740735054016,369.21,100,4700,0.29699796,-34.335743
94.24695,14.151958,99.00004,0.0017294283,1.717884,-155.90922251770834,3.1924973,0.9424695,0.7325822,404539,27.017399,3.3950805e-06,100.0,10.073341,-0.90057653,[ 0.025 -0.642 -0.001 -0.312 -0.129],24.673857,1.7294282e-05,9.459825,136.50345,0.017178841,48,65221.977,701.0754473209381,408.29,100,4800,0.09459824,-26.030704
89.81125,14.693253,99.000015,0.0024354218,1.4817626,-145.13873212484737,2.6669185,0.8981125,1.5436382,444312,27.16407,2.9945375e-06,100.0,10.04117,-1.2332743,[ 0.002 -0.643  0.008 -0.333 -0.13 ],24.619566,2.4354218e-05,8.951669,64.78202,0.014817625,49,59676.703,761.5630056858063,397.73,100,4900,0.08951669,-36.998318
4.3792176,0.24946392,99.0,0.1409387,0.97555923,-117.26337115714816,62.45463,0.043792177,66.15455,483781,22.74179,-1.6784668e-06,100.0,11.05513,-0.84941375,[-0.006 -0.611 -0.001 -0.338 -0.11 ],1.2937957,0.001409387,0.7563964,1.5116119,0.009755593,50,234.81236,822.8375334739685,394.69,100,5000,0.0075639635,-25.482357
3.795463,0.54909945,99.0,0.071826756,0.91495603,-110.71784251785762,60.95916,0.03795463,53.265728,524373,26.498102,-1.6403199e-06,100.0,10.091801,-0.9093329,[-0.023 -0.59  -0.004 -0.326 -0.109],1.7950425,0.0007182675,0.73221785,1.8773798,0.009149561,51,137.03535,885.3150951862335,405.92,100,5100,0.007322178,-27.279938
622.1462,10.624435,99.0,0.0013633098,6.7408752,-102.28517356223522,1.173467,6.221462,0.51376075,567832,20.341385,-1.5830993e-06,100.0,10.747987,-1.3534662,[-0.043 -0.588  0.001 -0.327 -0.117],29.507236,1.3633097e-05,61.861095,194.64313,0.067408755,52,92489.04,951.664856672287,434.59,100,5200,0.618611,-40.603935
45.698875,4.0794377,99.0,0.009596992,1.8699176,-122.7573555926583,7.631023,0.45698875,6.2107716,614114,20.823002,-1.9073486e-06,100.0,9.659635,-0.94512326,[-0.046 -0.592  0.008 -0.305 -0.104],7.8718424,9.596992e-05,6.5057015,16.101059,0.018699175,53,3788.7976,1019.635406255722,462.82,100,5300,0.06505702,-28.35363
157.47603,19.706738,99.0,0.0010295981,2.261887,-115.41536011505791,2.0388684,1.5747602,0.6643858,661215,26.107136,2.307892e-06,100.0,9.332578,-0.8702356,[-0.065 -0.611  0.011 -0.317 -0.065],30.383211,1.029598e-05,15.678453,150.51495,0.022618871,54,81003.91,1087.8344461917877,471.01,100,5400,0.1567845,-24.919014
503.4355,21.266115,99.0,0.00018310084,6.252475,-101.75376460003586,1.5312325,5.0343547,0.20744148,705731,28.24503,8.773804e-07,100.0,10.628711,-0.9415001,[-0.073 -0.56  -0.003 -0.311 -0.051],41.937664,1.8310084e-06,50.139576,482.06366,0.06252476,55,172195.19,1153.0506703853607,445.16,100,5500,0.50139576,-25.50351
28.735542,0.15561128,99.00001,0.0094312215,1.3113945,-90.29799982321465,14.317401,0.28735542,19.81798,746256,20.371624,-1.7166138e-07,100.0,11.726283,-1.4046925,[-0.067 -0.575 -0.003 -0.345 -0.03 ],3.31099,9.4312214e-05,3.2080975,5.0459228,0.013113946,56,1295.7731,1212.4318985939026,405.25,100,5600,0.032080974,-42.14077
29.77018,1.4602897,99.0,0.0038988492,1.1070768,-101.94942323087342,11.398561,0.29770178,9.511476,781579,23.767597,-1.6212464e-06,100.0,12.890817,-1.0877815,[-0.066 -0.565  0.01  -0.353 -0.019],4.9873843,3.898849e-05,3.0865483,10.513616,0.0110707665,57,2595.268,1264.6850798130035,353.23,100,5700,0.030865483,-32.6334
27.260122,1.1824024,99.0,0.005310433,1.2078009,-96.74970341568518,13.797204,0.27260122,12.223663,817491,20.464447,-1.9073486e-06,100.0,12.772412,-1.2770327,[-0.081 -0.554 -0.008 -0.352 -0.031],4.83499,5.310433e-05,3.0189812,8.180854,0.012078008,58,3190.423,1316.8335106372833,359.12,100,5800,0.03018981,-38.31092
7.2041626,0.6939585,99.0,0.041153096,1.1241859,-94.02326536113516,43.634224,0.07204162,48.893448,852651,23.51813,-1.4495849e-06,100.0,14.1826315,-1.2375524,[-0.093 -0.556  0.007 -0.362 -0.035],2.4638138,0.00041153096,1.27771,2.0452638,0.011241858,59,357.62823,1366.9807155132294,351.6,100,5900,0.012777098,-37.126526
11.827192,0.46551156,99.0,0.04915513,1.0338781,-86.65366808925707,26.159195,0.11827192,22.662888,889432,20.779331,-1.8692017e-06,100.0,11.45576,-1.0247682,[-0.114 -0.579  0.005 -0.367 -0.041],2.6181304,0.0004915513,1.7370223,4.4125004,0.0103387805,60,803.2257,1419.7973773479462,367.81,100,6000,0.017370222,-30.742985
11.820299,1.805521,99.0,0.058850337,0.90988165,-88.26807310104537,27.944311,0.11820299,26.091352,925295,35.722805,-9.536743e-07,100.0,12.2223625,-1.1907611,[-0.136 -0.603  0.006 -0.384 -0.029],4.136702,0.0005885034,1.4610745,3.8326876,0.009098816,61,1949.6852,1469.3883156776428,358.63,100,6100,0.014610746,-32.92762
6.364252,1.0948944,99.0,0.06354883,1.0688363,-92.5412956812109,47.283092,0.06364252,41.493374,961408,28.314482,9.155273e-07,100.0,12.473064,-1.0809705,[-0.109 -0.589  0.021 -0.38  -0.027],2.7730212,0.0006354883,1.1285824,2.4100235,0.0106883645,62,579.4623,1520.7905654907227,361.13,100,6200,0.011285822,-32.42914
12.178747,1.2605889,99.0,0.07198541,1.1300702,-88.78841074556009,37.484467,0.121787466,39.263287,996832,23.656612,8.392334e-07,100.0,12.372784,-1.4094754,[-0.108 -0.572  0.011 -0.375 -0.034],3.5099773,0.0007198541,1.459398,2.5469086,0.0113007035,63,516.36,1569.8451986312866,354.24,100,6300,0.014593978,-42.284286
721.5078,15.283169,99.0,0.00015857274,7.9749837,-99.31877973295897,1.220064,7.215078,0.47470075,1030584,32.06125,-3.7002565e-06,100.0,12.570374,-1.0687119,[-0.11  -0.549  0.014 -0.361 -0.008],30.794506,1.5857274e-06,71.758415,210.65903,0.07974984,64,91407.58,1617.3410201072693,337.52,100,6400,0.71758413,-31.09282
21.565971,4.0844345,99.0,0.023736587,1.4116672,-93.03742859052514,19.112597,0.21565971,23.158504,1069535,20.856031,-6.4849854e-07,100.0,11.881747,-1.1434617,[-0.145 -0.601  0.009 -0.36  -0.034],6.460542,0.00023736586,2.9041092,4.318068,0.014116671,65,1315.7565,1671.40118765831,389.51,100,6500,0.02904109,-34.303833
423.75714,16.294024,99.0,0.0013042886,5.3613563,-86.9605834018491,1.5936993,4.2375712,0.6660489,1110626,20.29845,8.9645386e-07,100.0,13.020283,-1.4834695,[-0.147 -0.55   0.011 -0.337 -0.031],34.471176,1.3042886e-05,42.129173,150.13913,0.053613562,66,112114.08,1727.7631258964539,410.91,100,6600,0.4212917,-44.504112
212.1842,22.122131,99.0,0.0021423956,4.384801,-96.64358276875068,3.8173594,2.121842,1.5026852,1143089,25.05529,3.0899048e-06,100.0,13.809838,-1.1705198,[-0.142 -0.514  0.016 -0.344  0.004],31.670868,2.1423955e-05,22.00983,66.54754,0.043848004,67,25956.197,1774.242996931076,324.63,100,6700,0.22009827,-35.115685
9.052214,1.0212162,99.0,0.022455808,1.2909085,-95.04202315415267,38.683914,0.09052213,29.779383,1176179,24.605015,-4.5776366e-07,100.0,12.331754,-1.0824605,[-0.182 -0.565  0.007 -0.366  0.027],3.0048158,0.00022455807,1.62524,3.358028,0.012909085,68,507.43402,1816.8416504859924,330.9,100,6800,0.016252398,-32.4738
26.049109,2.248361,99.0,0.0068440475,1.2874757,-88.81318955916502,10.073653,0.26049107,8.094038,1212356,30.9402,7.6293946e-07,100.0,13.6697645,-1.4092524,[-0.193 -0.564  0.021 -0.372  0.017],7.2017956,6.844047e-05,3.8467062,12.354773,0.012874758,69,4154.809,1862.9355351924896,361.77,100,6900,0.03846706,-42.277596
23.801338,1.1467919,99.0,0.017595569,1.3305385,-84.95241585213482,11.744416,0.23801337,12.85228,1252838,23.579494,-3.5095215e-06,100.0,11.202918,-1.1196315,[-0.189 -0.585  0.025 -0.363 -0.008],4.269876,0.00017595568,3.647395,7.7807207,0.013305384,70,1452.3373,1913.9661536216736,404.82,100,7000,0.03647395,-33.58884
11.113813,0.33019733,99.0,0.024218198,1.0900995,-94.75213256020686,32.226204,0.111138135,36.62605,1287801,23.685284,2.4795531e-06,100.0,11.909028,-1.1987021,[-0.205 -0.574  0.024 -0.368  0.027],2.3108897,0.00024218198,1.5808568,2.7302973,0.010900995,71,248.24547,1957.89883518219,349.63,100,7100,0.015808566,-35.96113
