VanillaAvgRet,VarDiscRet,AvgVanillaIw,VarJ,AvgNormIw,IterType,AvgEpLen,AvgRet,ESSRenyi,AvgDiscRet,delta,MinVanillaIw,VarNormIw,renyi2,SamplesThisIter,BatchSize,ESSClassic,EpsThisIter,VarRet,MaxNormIw,MaxVanillaIw,VarVanillaIw,MinNormIw,J,Bound
68.4572546152,90.2698456107,0.940531,257.578,8.47659e-07,1,7.62892889838,68.4572546152,nan,68.4572546152,0.7,3.23239e-29,5.29938e-12,nan,50000,100,41.5675243335,6554,90.2698456107,0.00012787,141.88,6.52423,2.91321e-35,12994.1,74.3478
68.4753317608,92.2476712851,0.943444,264.434,8.47918e-07,1,7.63125763126,68.4753317608,nan,68.4753317608,0.7,7.36035e-11,5.42826e-12,nan,50000,100,37.4389143683,6552,92.2476712851,0.000140787,156.648,6.72025,6.61509e-17,13003.4,74.1958
68.6235224086,88.3196656781,0.958851,254.813,8.49733e-07,1,7.64759865402,68.6235224086,nan,68.6235224086,0.7,7.3006e-17,5.35356e-12,nan,50000,100,42.0961374961,6538,88.3196656781,0.000124344,140.312,6.81678,6.46979e-23,13008.9,74.3746
68.4770211944,90.4864038233,0.943726,264.07,8.47918e-07,1,7.63125763126,68.4770211944,nan,68.4770211944,0.7,2.36321e-18,6.13031e-12,nan,50000,100,38.4806827551,6552,90.4864038233,0.000666785,742.127,7.59394,2.1233e-24,13006.3,74.1633
68.3931794549,88.8641281019,0.950453,261.676,8.46883e-07,1,7.62195121951,68.3931794549,nan,68.3931794549,0.7,3.16168e-15,5.31305e-12,nan,50000,100,40.290923172,6560,88.8641281019,0.000109708,123.124,6.69203,2.81716e-21,12971.8,73.941
68.499060424,89.6128644465,0.941736,260.414,8.48177e-07,1,7.63358778626,68.499060424,nan,68.499060424,0.7,2.53294e-22,5.27493e-12,nan,50000,100,37.6487573684,6550,89.6128644465,0.00012455,138.288,6.50283,2.28129e-28,12992.1,74.0017
68.3327171416,89.2763238275,0.951652,260.702,8.46109e-07,1,7.61498629302,68.3327171416,nan,68.3327171416,0.7,1.03574e-23,5.33197e-12,nan,50000,100,41.73898866,6566,89.2763238275,0.00014705,165.393,6.74515,9.20873e-30,12968.2,74.1285
68.6865236576,89.5604918078,0.947361,249.973,8.50514e-07,1,7.65462339253,68.6865236576,nan,68.6865236576,0.7,3.21606e-17,5.29403e-12,nan,50000,100,40.5013787608,6532,89.5604918078,0.000146372,163.039,6.56832,2.88729e-23,13024.5,74.234
68.787868028,89.9035284727,0.948153,250.444,8.51818e-07,1,7.66636001227,68.787868028,nan,68.787868028,0.7,7.71403e-15,5.14525e-12,nan,50000,100,42.3284335172,6522,89.9035284727,0.000157481,175.292,6.37486,6.93026e-21,13029.9,74.1478
68.5411166162,90.5516388391,0.93515,257.053,8.48695e-07,1,7.63825236786,68.5411166162,nan,68.5411166162,0.7,6.40854e-15,5.32942e-12,nan,50000,100,42.1175139823,6546,90.5516388391,0.000210944,232.433,6.47053,5.81606e-21,13009.4,74.273
