IterType,MaxNormIw,AvgNormIw,AvgRet,Bound,renyi2,VanillaAvgRet,VarJ,ESSClassic,MinNormIw,VarDiscRet,delta,J,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarRet,VarVanillaIw,AvgVanillaIw,BatchSize,MaxVanillaIw,SamplesThisIter
1,0.000669075,5.52486e-05,72.0182080458,74.387,nan,72.0182080458,84.8665,1.21466116591,2.55585e-17,119.814013882,0.8,14473.5,500.0,5.85514e-13,nan,8.23128e-09,100,72.0182080458,119.814013882,4.31986,1.26568,100,15.3277,50000
1,0.000842162,5.52486e-05,72.0306938338,74.6634,nan,72.0306938338,130.98,0.910935441442,1.85295e-15,123.062996646,0.8,14684.1,500.0,3.6674e-11,nan,8.89182e-09,100,72.0306938338,123.062996646,3.48322,1.09349,100,16.6683,50000
1,0.000885902,5.52486e-05,72.22312187,73.7781,nan,72.22312187,125.97,0.918505988124,4.6188e-19,75.8533692034,0.8,14485.8,500.0,9.14674e-15,nan,8.491e-09,100,72.22312187,75.8533692034,3.32992,1.09411,100,17.5438,50000
1,0.000922846,5.52486e-05,72.4748965374,74.7124,nan,72.4748965374,110.937,1.2993240491,3.04085e-18,102.021006619,0.8,14680.5,500.0,6.52478e-14,nan,9.19634e-09,100,72.4748965374,102.021006619,4.23406,1.18548,100,19.8016,50000
1,0.00106839,5.52486e-05,69.9284973001,75.0334,nan,69.9284973001,127.455,0.868827272721,1.93028e-15,157.869592435,0.8,14875.3,500.0,5.2401e-11,nan,1.52122e-08,100,69.9284973001,157.869592435,11.2106,1.49983,100,29.0035,50000
1,0.00110795,5.52486e-05,72.1378239413,73.4082,nan,72.1378239413,153.612,1.19320117608,4.09155e-14,84.8236184738,0.8,14422.0,500.0,8.07073e-10,nan,8.60125e-09,100,72.1378239413,84.8236184738,3.34666,1.0898,100,21.8548,50000
1,0.000639425,5.52486e-05,74.2409130458,75.956,nan,74.2409130458,83.3707,0.967931267161,3.93587e-16,96.0298456807,0.8,14788.6,500.0,7.78473e-12,nan,6.79764e-09,100,74.2409130458,96.0298456807,2.65927,1.09276,100,12.6471,50000
1,0.00061806,5.52486e-05,74.4084030812,77.0002,nan,74.4084030812,96.703,0.93045601217,5.06855e-20,103.006256598,0.8,15061.8,500.0,1.06277e-15,nan,9.18438e-09,100,74.4084030812,103.006256598,4.03799,1.15845,100,12.9595,50000
1,0.000743015,5.52486e-05,74.8572358856,75.6119,nan,74.8572358856,113.37,0.831100589097,3.48947e-15,74.6071576743,0.8,14844.3,500.0,7.96509e-11,nan,8.64423e-09,100,74.8572358856,74.6071576743,4.50389,1.26111,100,16.9601,50000
1,0.000840262,5.52486e-05,75.5147315878,76.8837,nan,75.5147315878,119.953,0.945939820578,2.71053e-17,89.4408235085,0.8,15040.8,500.0,5.58931e-13,nan,7.48201e-09,100,75.5147315878,89.4408235085,3.18147,1.13927,100,17.3268,50000
1,0.00108834,5.52486e-05,71.9828715225,75.8605,nan,71.9828715225,197.51,0.581477527148,8.61849e-24,129.956691367,0.8,15192.0,500.0,1.93731e-19,nan,1.34039e-08,100,71.9828715225,129.956691367,6.77281,1.24191,100,24.4644,50000
1,0.000555146,5.52486e-05,76.1047582261,76.8014,nan,76.1047582261,80.3098,0.950495173849,1.56542e-14,75.390685279,0.8,14932.8,500.0,3.10898e-10,nan,7.00745e-09,100,76.1047582261,75.390685279,2.76397,1.09726,100,11.0254,50000
1,0.000788203,5.52486e-05,75.4608380094,76.6631,nan,75.4608380094,114.232,1.02589229812,1.29891e-14,67.5736904831,0.8,15033.0,500.0,2.79113e-10,nan,8.31114e-09,100,75.4608380094,67.5736904831,3.83762,1.1872,100,16.9371,50000
1,0.000634921,5.52486e-05,74.0079369656,76.4072,nan,74.0079369656,98.124,0.815810223711,1.28675e-14,115.901406614,0.8,14970.0,500.0,2.53113e-10,nan,9.38538e-09,100,74.0079369656,115.901406614,3.63158,1.08678,100,12.4894,50000
1,0.000691708,5.52486e-05,75.567960896,77.4165,nan,75.567960896,105.544,1.08786350123,1.75224e-19,86.2285747327,0.8,15128.1,500.0,3.5933e-15,nan,8.4512e-09,100,75.567960896,86.2285747327,3.554,1.13298,100,14.1848,50000
1,0.000912393,5.52486e-05,74.484787501,77.3991,nan,74.484787501,108.831,1.09223172795,4.63234e-22,84.2454952983,0.8,15243.7,500.0,1.20797e-17,nan,1.24831e-08,100,74.484787501,84.2454952983,8.48857,1.44071,100,23.7924,50000
1,0.00119819,5.52486e-05,73.9331445826,78.109,nan,73.9331445826,161.322,0.847429732872,9.26382e-23,167.575683042,0.8,15455.7,500.0,1.9041e-18,nan,1.28699e-08,100,73.9331445826,167.575683042,5.43719,1.13559,100,24.6279,50000
1,0.000542363,5.52486e-05,76.3399464225,78.1116,nan,76.3399464225,81.0351,1.03896767504,4.53018e-15,80.9439937734,0.8,15179.8,500.0,1.02652e-10,nan,7.49653e-09,100,76.3399464225,80.9439937734,3.84911,1.25191,100,12.2897,50000
1,0.00083534,5.52486e-05,75.604908744,77.9232,nan,75.604908744,125.251,0.788050994408,3.57039e-22,99.5868016068,0.8,15379.3,500.0,8.07945e-18,nan,1.11008e-08,100,75.604908744,99.5868016068,5.6844,1.25022,100,18.9029,50000
1,0.000760034,5.52486e-05,78.2312363636,80.6938,nan,78.2312363636,84.7317,1.25219311988,4.26692e-17,93.4036325881,0.8,15704.3,500.0,9.48586e-13,nan,9.03493e-09,100,78.2312363636,93.4036325881,4.46529,1.22824,100,16.8964,50000
