BatchSize,Delta,EpsThisIter,ESSRenyi,VanillaAvgRet,VarVanillaIw,VarJ,AvgVanillaIw,MaxNormIw,VarDiscRet,AvgNormIw,IterType,eRenyi2,VarNormIw,VarRet,AvgRet,MinVanillaIw,AvgDiscRet,MaxVanillaIw,J,AvgEpLen,MinNormIw,Bound,ESSClassic
200,0.8,100,39.4666312365,-105.658615654,14.2393,86.9691,1.20355,0.216887,34.8225074674,0.005,1,5.06757,0.000245753,34.8225074674,-105.658615654,0.000741408,-105.658615654,52.207,-97.403,20.64,3.08008e-06,-106.457,18.5512399489
200,0.8,100,200.0,-105.388332751,,4.67519,1.0,0.01,22.0781642904,0.01,2,1.0,3.50449e-18,22.0781642904,-105.388332751,1.0,-105.388332751,1.0,-105.388,27.24,0.01,-111.136,100.0
300,0.8,100,nan,-105.658615654,9353.4,20.2223,13.6851,0.492793,728.871020535,0.005,,nan,0.00124857,34.8225074674,-105.658615654,0.0191545,-107.677300711,1348.78,-105.785,20.64,6.99831e-06,-inf,3.94530581211
300,0.8,100,91.0831683527,-106.23753617,4.57118,60.3747,1.06732,0.106642,13.822058539,0.00333333,1,3.29369,4.45862e-05,13.822058539,-106.23753617,0.00399526,-106.23753617,34.1461,-101.612,19.87,1.24776e-05,-107.837,60.0074578963
300,0.8,100,300.0,-107.117010555,,10.3904,1.0,0.01,109.051235214,0.01,2,1.0,3.50449e-18,109.051235214,-107.117010555,1.0,-107.117010555,1.0,-107.117,28.92,0.01,-117.175,100.0
300,0.8,100,300.0,-108.017451236,,19.3493,1.0,0.005,646.896866124,0.005,2,1.0,2.1793e-19,646.896866124,-108.017451236,1.0,-108.017451236,1.0,-107.567,35.33,0.005,-119.33,200.000000102
300,0.8,100,281.958327778,-108.220741446,0.0618039,5.3387,0.990335,0.00494304,662.041210155,0.00333333,1,1.06399,7.00178e-07,662.041210155,-108.220741446,0.127424,-108.220741446,1.46858,-106.158,34.49,0.00042889,-116.87,282.271710262
300,0.8,100,300.0,-105.63404052,,4.22647,1.0,0.01,18.0435016125,0.01,2,1.0,3.50449e-18,18.0435016125,-105.63404052,1.0,-105.63404052,1.0,-105.634,20.77,0.01,-111.326,100.0
300,0.8,100,300.0,-105.298172085,,7.27384,1.0,0.005,88.7860016234,0.005,2,1.0,2.1793e-19,88.7860016234,-105.298172085,1.0,-105.298172085,1.0,-105.466,28.4,0.005,-109.674,200.000000102
300,0.8,100,25.0730497044,-106.237387174,21.4616,245.096,0.987148,0.225789,16.1007889885,0.00333333,1,11.965,0.000244712,16.1007889885,-106.237387174,2.43532e-09,-106.237387174,66.8662,-82.5653,24.58,8.22341e-12,-94.449,13.0715330619
300,0.8,100,300.0,-102.490314985,,20.2897,1.0,0.01,415.831010111,0.01,2,1.0,3.50449e-18,415.831010111,-102.490314985,1.0,-102.490314985,1.0,-102.49,60.68,0.01,-114.312,100.0
300,0.8,100,300.0,-105.236741203,,30.3177,1.0,0.005,1437.25345918,0.005,2,1.0,2.1793e-19,1437.25345918,-105.236741203,1.0,-105.236741203,1.0,-103.864,67.59,0.005,-115.384,200.000000102
400,0.8,100,nan,-106.237387174,5.65801e+14,64.8512,1.50562e+06,0.909092,2160.4114401,0.00333333,,nan,0.00277326,16.1007889885,-106.237387174,0.0149552,-111.851881528,4.10624e+08,-95.6051,24.58,3.31098e-11,-inf,1.20114811683
400,0.8,100,334.699171123,-106.684326174,0.210413,15.9271,0.997955,0.00707063,112.540870002,0.0025,1,1.1951,1.32048e-06,112.540870002,-106.684326174,0.184282,-106.684326174,2.82247,-105.284,30.74,0.000461648,-110.843,330.374060505
400,0.8,100,400.0,-104.704608598,,7.2068,1.0,0.01,52.4626160548,0.01,2,1.0,3.50449e-18,52.4626160548,-104.704608598,1.0,-104.704608598,1.0,-104.705,30.93,0.01,-110.35,100.0
400,0.8,100,400.0,-106.053123767,,5.99745,1.0,0.005,19.2845090899,0.005,2,1.0,2.1793e-19,19.2845090899,-106.053123767,1.0,-106.053123767,1.0,-105.379,24.72,0.005,-109.88,200.000000102
400,0.8,100,400.0,-106.481723439,,6.18584,1.0,0.00333333,42.4689703525,0.00333333,2,1.0,5.43914e-20,42.4689703525,-106.481723439,1.0,-106.481723439,1.0,-105.746,27.57,0.00333333,-109.806,299.999969474
400,0.8,100,54.9406234981,-105.202365368,8.01936,94.9563,1.0103,0.0948193,23.059608568,0.0025,1,7.28059,4.91043e-05,23.059608568,-105.202365368,3.51016e-09,-105.202365368,38.3184,-97.8885,30.62,8.68594e-12,-107.375,45.2639858295
400,0.8,100,400.0,-102.561935198,,35.3489,1.0,0.01,1262.16969857,0.01,2,1.0,3.50449e-18,1262.16969857,-102.561935198,1.0,-102.561935198,1.0,-102.562,58.78,0.01,-117.378,100.0
400,0.8,100,400.0,-105.375298756,,26.2754,1.0,0.005,128.569419157,0.005,2,1.0,2.1793e-19,128.569419157,-105.375298756,1.0,-105.375298756,1.0,-103.969,44.6,0.005,-114.445,200.000000102
400,0.8,100,400.0,-108.668399446,,30.9496,1.0,0.00333333,1493.05578064,0.00333333,2,1.0,5.43914e-20,1493.05578064,-108.668399446,1.0,-108.668399446,1.0,-105.535,60.48,0.00333333,-115.562,299.999969474
