InitialReturnStd,InitialReturnMean,OptimizationReturnMin,EpLenMean,ReturnMeanIW,MaxIW,MeanIW,OptimizationReturnMax,EpRewMean,Iteration,StdIWNorm,ESSClassic,InitialReturnMax,EpThisIter,ReturnStepMaxmin,EpisodesSoFar,ESSRenyi,OptimizationReturnMean,MeanEntropy,TimeElapsed,Bound,MinIW,LearnableVariance,InitialReturnMin,MaxIWNorm,Weights,StdIW,TimestepsSoFar,ReturnStepMax,MinIWNorm,J_sample_variance,EmpiricalD2,MeanIWNorm,VarianceInit,InitialBound
1016.8969,4678.418,,468.07,4880.6475,2.3187916,1.0367322,4999.5312,4678.4178359585985,52,0.004107131,86.43462,4999.5312,100,10.0,5200,83.2531,4678.418,0.4189424,1750.4619572162628,4209.567,0.2167214,,,0.023187915,[ 1.895e-03  4.341e-01 -2.242e+00 -1.757e+00],0.41071317,1552920,10.0,0.002167214,5196226.5,1.2011565,0.010367321,-1.0,4066.103
624.8253,4872.504,,487.39,5101.634,3.0256834,1.0468473,4719.694,4872.504111317181,53,0.004578828,83.941086,4999.478,100,10.0,5300,82.220924,4592.72,0.4189424,1835.2131237983704,4426.3613,0.34283733,,279.7844,0.030256834,[ 0.011  0.422 -2.233 -1.743],0.4578828,1601659,10.0,0.0034283733,4748600.0,1.2162354,0.010468474,-1.0,4260.1953
1031.2084,4728.1885,,472.99,7034.479,15.891316,1.4689525,4979.6616,4728.188292340485,54,0.023156285,28.694603,4999.6274,100,10.0,5400,17.451689,4708.2227,0.4189424,1920.8936290740967,5568.7134,0.004662537,,19.965834,0.15891317,[ 0.005  0.413 -2.235 -1.751],2.3156285,1648958,10.0,4.662537e-05,134505520.0,5.7301044,0.014689524,-1.0,4115.862
589.57477,4915.6797,,491.69,8926.58,75.741394,1.8007742,4969.678,4915.679680993711,55,0.07753267,5.1183634,4999.6226,100,10.0,5500,4.718799,4885.7354,0.4189424,2010.9946813583374,6107.7617,0.0026659302,,29.944187,0.7574139,[ 0.02   0.421 -2.274 -1.827],7.753268,1698127,10.0,2.6659302e-05,1500360700.0,21.191832,0.018007742,-1.0,4303.3535
997.0694,4753.6284,,475.52,7387.519,24.566368,1.5748018,4979.5933,4753.628622544613,56,0.031640876,19.853584,4999.554,100,10.0,5600,16.670586,4733.6675,0.4189424,2093.4073688983917,5887.829,0.014876372,,19.961071,0.24566367,[ 0.022  0.373 -2.271 -1.856],3.1640878,1745679,10.0,0.00014876372,245557970.0,5.9985895,0.015748018,-1.0,4141.3105
979.69073,4726.317,,472.82,5428.7725,6.540079,1.1513768,4989.5283,4726.316848192943,57,0.0133868735,42.520004,4999.5093,100,10.0,5700,41.993782,4716.336,0.4189424,2173.8481752872467,4483.8843,0.072894454,,9.980754,0.06540079,[ 0.045  0.328 -2.26  -1.804],1.3386874,1792961,10.0,0.00072894455,45866532.0,2.381305,0.011513769,-1.0,4114.004
1108.89,4656.1235,,465.81,6535.9517,8.704206,1.4007694,4989.5293,4656.123927582039,58,0.020573149,31.67474,4999.5093,100,10.0,5800,21.847782,4646.144,0.4189424,2247.2563943862915,5225.9575,0.05567931,,9.979779,0.08704206,[ 0.054  0.323 -2.267 -1.854],2.0573149,1839542,10.0,0.00055679306,106431000.0,4.5771236,0.014007692,-1.0,4043.811
922.67566,4721.425,,472.35,7637.78,69.13424,1.5689784,4609.949,4721.42467869331,59,0.06920911,4.888123,4999.625,100,10.0,5900,6.8222065,4331.7485,0.4189424,2320.588212490082,5293.4395,0.003291815,,389.67603,0.69134235,[ 0.06   0.336 -2.313 -1.794],6.920912,1886777,10.0,3.291815e-05,1029326000.0,14.658014,0.015689785,-1.0,4109.0977
806.0825,4812.3203,,481.39,6237.2095,23.042286,1.2913948,4979.631,4812.320544869777,60,0.024924057,21.164284,4999.5947,100,10.0,6000,30.415224,4792.357,0.4189424,2405.1789371967316,5126.9233,0.003334732,,19.963812,0.23042285,[ 0.044  0.279 -2.358 -1.746],2.4924057,1934916,10.0,3.3347318e-05,156385710.0,3.2878273,0.01291395,-1.0,4199.9976
885.0248,4776.6714,,477.85,8639.856,71.89564,1.7623943,4999.554,4776.671479360636,61,0.07267245,5.554534,4999.554,100,10.0,6100,10.454846,4776.6714,0.4189424,2490.955623626709,6746.1265,0.016917571,,,0.71895635,[ 0.065  0.288 -2.367 -1.802],7.2672453,1982701,10.0,0.0001691757,1334529000.0,9.564942,0.017623944,-1.0,4164.354
