eRenyi2,IterType,AvgDiscRet,VarDiscRet,AvgRet,EpsThisIter,ESSRenyi,MinNormIw,J,ESSClassic,Bound,VarJ,MaxNormIw,VarNormIw,Delta,AvgNormIw,AvgEpLen,VarRet,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,MinVanillaIw
1.0,2,-421.813811149,1413.46914676,-421.813811149,100,300.0,0.005,-423.74,200.000000102,-481.433,39.4726,0.005,2.1793e-19,0.3,0.005,500.0,1413.46914676,1.0,,-421.813811149,300,1.0,1.0
1.05503,1,-421.398918084,1441.58445919,-421.398918084,100,284.351335786,0.00103993,-420.453,283.774650425,-468.838,39.0968,0.00498258,6.37423e-07,0.3,0.00333333,500.0,1441.58445919,0.977945,0.0548655,-421.398918084,300,1.46181,0.305097
1.0,2,-422.523360412,1614.17500804,-422.523360412,100,300.0,0.01,-422.523,100.0,-508.101,39.9754,0.01,3.50449e-18,0.3,0.01,500.0,1614.17500804,1.0,,-422.523360412,300,1.0,1.0
1.0,2,-420.418934487,1510.98978937,-420.418934487,100,300.0,0.005,-421.471,200.000000102,-481.984,39.3454,0.005,2.1793e-19,0.3,0.005,500.0,1510.98978937,1.0,,-420.418934487,300,1.0,1.0
1.04924,1,-413.109421124,1305.01841765,-413.109421124,100,285.922571999,0.00130636,-416.117,285.154901889,-466.727,37.0225,0.00585171,5.80377e-07,0.3,0.00333333,500.0,1305.01841765,1.00806,0.0530791,-413.109421124,300,1.76966,0.395066
1.0,2,-422.313462361,2159.8230046,-422.313462361,100,300.0,0.01,-422.313,100.0,-510.438,46.2409,0.01,3.50449e-18,0.3,0.01,500.0,2159.8230046,1.0,,-422.313462361,300,1.0,1.0
1.0,2,-420.834932201,1326.22545552,-420.834932201,100,300.0,0.005,-421.574,200.000000102,-483.888,41.5468,0.005,2.1793e-19,0.3,0.005,500.0,1326.22545552,1.0,,-420.834932201,300,1.0,1.0
1.10438,1,-422.064356204,1667.89533499,-422.064356204,100,271.645948922,0.000855162,-416.697,271.937923255,-470.165,41.172,0.00607803,1.15042e-06,0.3,0.00333333,500.0,1667.89533499,0.992166,0.101922,-422.064356204,300,1.80913,0.254539
1.0,2,-418.232025193,1587.97164151,-418.232025193,100,300.0,0.01,-418.232,100.0,-500.532,39.6496,0.01,3.50449e-18,0.3,0.01,500.0,1587.97164151,1.0,,-418.232025193,300,1.0,1.0
1.0,2,-413.79942821,1280.10391881,-413.79942821,100,300.0,0.005,-416.016,200.000000102,-474.21,37.744,0.005,2.1793e-19,0.3,0.005,500.0,1280.10391881,1.0,,-413.79942821,300,1.0,1.0
