AvgVanillaIw,AvgNormIw,AvgRet,MinVanillaIw,J,VarDiscRet,ESSClassic,MaxNormIw,VarVanillaIw,AvgDiscRet,eRenyi2,MaxVanillaIw,AvgEpLen,VarJ,ESSRenyi,BatchSize,Bound,VanillaAvgRet,VarNormIw,VarRet,MinNormIw
1.0,0.009999998,89.0969401606161,1.0,89.09694,41.910032531426346,100.0,0.01,,89.0969401606161,1.0,1.0,500.0,6.4413457,100.0,100,80.781166,89.0969401606161,3.5044917e-18,41.910032531426346,0.01
1.0,0.009999998,90.91749712223066,1.0,90.9175,19.935381394444054,100.0,0.01,,90.91749712223066,1.0,1.0,500.0,4.442525,100.0,100,82.6073,90.91749712223066,3.5044917e-18,19.935381394444054,0.01
1.0,0.009999998,89.7149075256712,1.0,89.71491,34.30448973676528,100.0,0.01,,89.7149075256712,1.0,1.0,500.0,5.827645,100.0,100,81.40229,89.7149075256712,3.5044917e-18,34.30448973676528,0.01
1.0,0.009999998,89.62667783647358,1.0,89.62668,22.496243799927747,100.0,0.01,,89.62667783647358,1.0,1.0,500.0,4.719246,100.0,100,81.302635,89.62667783647358,3.5044917e-18,22.496243799927747,0.01
1.0,0.009999998,89.77026681310703,1.0,89.77026,25.005321238430124,100.0,0.01,,89.77026681310703,1.0,1.0,500.0,4.9754663,100.0,100,81.46891,89.77026681310703,3.5044917e-18,25.005321238430124,0.01
1.0,0.009999998,89.76577532265954,1.0,89.76578,32.909634177591215,100.0,0.01,,89.76577532265954,1.0,1.0,500.0,5.707937,100.0,100,81.45952,89.76577532265954,3.5044917e-18,32.909634177591215,0.01
1.0,0.009999998,88.83781157227851,1.0,88.83781,44.36455202111385,100.0,0.01,,88.83781157227851,1.0,1.0,500.0,6.627285,100.0,100,80.6884,88.83781157227851,3.5044917e-18,44.36455202111385,0.01
1.0,0.009999998,89.70264751657264,1.0,89.70265,24.2133495102397,100.0,0.01,,89.70264751657264,1.0,1.0,500.0,4.896041,100.0,100,81.40825,89.70264751657264,3.5044917e-18,24.2133495102397,0.01
1.0,0.009999998,89.51051052429722,1.0,89.510506,30.442191616657276,100.0,0.01,,89.51051052429722,1.0,1.0,500.0,5.4897876,100.0,100,81.1934,89.51051052429722,3.5044917e-18,30.442191616657276,0.01
1.0,0.009999998,89.67086479717085,1.0,89.67086,30.148806681230937,100.0,0.01,,89.67086479717085,1.0,1.0,500.0,5.4632697,100.0,100,81.51169,89.67086479717085,3.5044917e-18,30.148806681230937,0.01
1.0,0.009999998,90.1721144869911,1.0,90.17212,29.09905546963032,100.0,0.01,,90.1721144869911,1.0,1.0,500.0,5.367315,100.0,100,81.77937,90.1721144869911,3.5044917e-18,29.09905546963032,0.01
1.0,0.009999998,88.31921544283719,1.0,88.319214,44.1374593283074,100.0,0.01,,88.31921544283719,1.0,1.0,500.0,6.6103015,100.0,100,80.06819,88.31921544283719,3.5044917e-18,44.1374593283074,0.01
1.0,0.009999998,88.48171871722698,1.0,88.48172,33.62983002976976,100.0,0.01,,88.48171871722698,1.0,1.0,500.0,5.770055,100.0,100,80.26744,88.48171871722698,3.5044917e-18,33.62983002976976,0.01
1.0,0.009999998,88.73432847044859,1.0,88.73432,37.89984098205221,100.0,0.01,,88.73432847044859,1.0,1.0,500.0,6.125426,100.0,100,80.47711,88.73432847044859,3.5044917e-18,37.89984098205221,0.01
1.0,0.009999998,88.48482721196616,1.0,88.484825,36.42525706781111,100.0,0.01,,88.48482721196616,1.0,1.0,500.0,6.0050817,100.0,100,80.32265,88.48482721196616,3.5044917e-18,36.42525706781111,0.01
1.0,0.009999998,89.18842507400151,1.0,89.188416,40.78772652698827,100.0,0.01,,89.18842507400151,1.0,1.0,500.0,6.3545136,100.0,100,80.75224,89.18842507400151,3.5044917e-18,40.78772652698827,0.01
1.0,0.009999998,89.94887377854094,1.0,89.948875,31.22652635055166,100.0,0.01,,89.94887377854094,1.0,1.0,500.0,5.5600595,100.0,100,81.67325,89.94887377854094,3.5044917e-18,31.22652635055166,0.01
1.0,0.009999998,89.753869820957,1.0,89.75387,34.85197932185966,100.0,0.01,,89.753869820957,1.0,1.0,500.0,5.8739643,100.0,100,81.296326,89.753869820957,3.5044917e-18,34.85197932185966,0.01
