AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.00333333,2533.07,2494.25879786,1.0,392210.279129,100,500,392210.279129,1.0,0.00333333,1.0,2494.25879786,2494.25879786,2533.07,299.999969474,5.43914e-20,0.00333333,500.0,1.0,648.652,,271.09,2,1.0
0.0025,2524.72,2499.66001174,1.0,461181.916529,100,500,461181.916529,1.0,0.0025,1.0,2499.66001174,2499.66001174,2524.72,400.0,5.4346e-20,0.0025,500.0,1.0,655.678,,271.43,2,1.0
0.002,2505.23,2427.26395504,1.0,493988.087151,100,500,493988.087151,1.0,0.002,1.0,2427.26395504,2427.26395504,2505.23,500.000006643,5.43187e-20,0.002,500.0,1.0,665.778,,263.68,1,1.0
0.01,2375.24,2375.24364577,1.0,294840.101837,100,500,294840.101837,1.0,0.01,1.0,2375.24364577,2375.24364577,2375.24,100.0,3.50449e-18,0.01,500.0,1.0,540.27,,258.3,2,1.0
0.005,2382.85,2390.46651834,1.0,413622.129581,100,500,413622.129581,1.0,0.005,1.0,2390.46651834,2390.46651834,2382.85,200.000000102,2.1793e-19,0.005,500.0,1.0,592.239,,259.86,2,1.0
0.00333333,2430.3,2525.195011,1.0,402309.594012,100,500,402309.594012,1.0,0.00333333,1.0,2525.195011,2525.195011,2430.3,299.999969474,5.43914e-20,0.00333333,500.0,1.0,609.176,,274.19,2,1.0
0.0025,2444.84,2488.45423061,1.0,431663.067794,100,500,431663.067794,1.0,0.0025,1.0,2488.45423061,2488.45423061,2444.84,400.0,5.4346e-20,0.0025,500.0,1.0,621.122,,270.44,2,1.0
0.002,2442.84,2434.84325781,1.0,243638.922733,100,500,243638.922733,1.0,0.002,1.0,2434.84325781,2434.84325781,2442.84,500.000006643,5.43187e-20,0.002,500.0,1.0,597.403,,264.75,1,1.0
0.01,2476.27,2476.26683722,1.0,435662.447656,100,500,435662.447656,1.0,0.01,1.0,2476.26683722,2476.26683722,2476.27,100.0,3.50449e-18,0.01,500.0,1.0,656.739,,268.91,2,1.0
0.005,2517.43,2558.60001104,1.0,439179.341191,100,500,439179.341191,1.0,0.005,1.0,2558.60001104,2558.60001104,2517.43,200.000000102,2.1793e-19,0.005,500.0,1.0,659.349,,277.93,2,1.0
0.00333333,2547.49,2607.59286952,1.0,509955.448278,100,500,509955.448278,1.0,0.00333333,1.0,2607.59286952,2607.59286952,2547.49,299.999969474,5.43914e-20,0.00333333,500.0,1.0,678.174,,283.43,2,1.0
0.0025,2519.71,2436.39335531,1.0,349533.155599,100,500,349533.155599,1.0,0.0025,1.0,2436.39335531,2436.39335531,2519.71,400.0,5.4346e-20,0.0025,500.0,1.0,658.607,,264.8,2,1.0
0.002,2494.24,2392.32812316,1.0,369774.77926,100,500,369774.77926,1.0,0.002,1.0,2392.32812316,2392.32812316,2494.24,500.000006643,5.43187e-20,0.002,500.0,1.0,650.248,,260.13,1,1.0
0.01,2499.59,2499.5875101,1.0,450532.611806,100,500,450532.611806,1.0,0.01,1.0,2499.5875101,2499.5875101,2499.59,100.0,3.50449e-18,0.01,500.0,1.0,667.853,,271.53,2,1.0
0.005,2502.07,2504.54592527,1.0,401886.826091,100,500,401886.826091,1.0,0.005,1.0,2504.54592527,2504.54592527,2502.07,200.000000102,2.1793e-19,0.005,500.0,1.0,649.58,,272.14,2,1.0
0.00333333,2511.69,2530.94368932,1.0,381651.493045,100,500,381651.493045,1.0,0.00333333,1.0,2530.94368932,2530.94368932,2511.69,299.999969474,5.43914e-20,0.00333333,500.0,1.0,638.305,,274.94,2,1.0
0.0025,2508.51,2498.95785433,1.0,523349.577239,100,500,523349.577239,1.0,0.0025,1.0,2498.95785433,2498.95785433,2508.51,400.0,5.4346e-20,0.0025,500.0,1.0,659.647,,271.25,2,1.0
