Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.0025,-461.784997515,500,39.0015,500.0,,1467.8730395,2,1.0,1.0,-461.784997515,0.0025,5.4346e-20,0.0025,-461.784997515,500.0,1467.8730395,1.0,100,1.0,-460.974,400.0,-460.974
1.0,0.002,-461.453502683,500,75.3588,500.0,3.10548,1369.88334067,1,1.00118,inf,-461.453502683,1.12374e-06,1.23927e-05,0.0450374,-461.453502683,,1369.88334067,0.000562532,100,22.5452,-456.297,122.189996326,-456.297
1.0,0.01,-458.393944232,500,37.0746,500.0,,1388.4129004,2,1.0,1.0,-458.393944232,0.01,3.50449e-18,0.01,-458.393944232,500.0,1388.4129004,1.0,100,1.0,-458.394,100.0,-458.394
1.0,0.005,-445.604145708,500,35.4271,500.0,,1064.48289884,2,1.0,1.0,-445.604145708,0.005,2.1793e-19,0.005,-445.604145708,500.0,1064.48289884,1.0,100,1.0,-451.999,200.000000102,-451.999
1.0,0.00333333,-461.9596345,500,37.2426,500.0,,1600.74245045,2,1.0,1.0,-461.9596345,0.00333333,5.43914e-20,0.00333333,-461.9596345,500.0,1600.74245045,1.0,100,1.0,-455.319,299.999969474,-455.319
1.0,0.0025,-460.4193093,500,37.036,500.0,,1319.32780494,2,1.0,1.0,-460.4193093,0.0025,5.4346e-20,0.0025,-460.4193093,500.0,1319.32780494,1.0,100,1.0,-456.594,400.0,-456.594
1.0,0.002,-456.889526133,500,42.336,500.0,1.45592,1466.45270433,1,0.890187,1.00015,-456.889526133,1.16918e-06,7.34911e-06,0.0339508,-456.889526133,499.923419762,1466.45270433,0.000520393,100,15.1113,-451.888,176.45384584,-451.888
1.0,0.01,-466.947833095,500,40.2723,500.0,,1638.24445387,2,1.0,1.0,-466.947833095,0.01,3.50449e-18,0.01,-466.947833095,500.0,1638.24445387,1.0,100,1.0,-466.948,100.0,-466.948
1.0,0.005,-468.117062926,500,39.8947,500.0,,1576.38998989,2,1.0,1.0,-468.117062926,0.005,2.1793e-19,0.005,-468.117062926,500.0,1576.38998989,1.0,100,1.0,-467.532,200.000000102,-467.532
1.0,0.00333333,-466.123911431,500,39.4865,500.0,,1508.12863878,2,1.0,1.0,-466.123911431,0.00333333,5.43914e-20,0.00333333,-466.123911431,500.0,1508.12863878,1.0,100,1.0,-467.063,299.999969474,-467.063
