AvgDiscRet,ESSClassic,BatchSize,Bound,VanillaAvgRet,MinNormIw,AvgEpLen,AvgRet,VarDiscRet,J,VarVanillaIw,VarNormIw,AvgVanillaIw,Delta,VarJ,AvgNormIw,eRenyi2,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,EpsThisIter,IterType,MinVanillaIw
-100.749877922,299.999969474,500,-112.435,-100.749877922,0.00333333,103.54,-100.749877922,685.729166364,-102.925,,5.43914e-20,1.0,0.8,23.8815,0.00333333,1.0,1.0,685.729166364,0.00333333,500.0,100,2,1.0
-98.7830367105,400.0,500,-110.126,-98.7830367105,0.0025,91.65,-98.7830367105,621.695686149,-101.889,,5.4346e-20,1.0,0.8,24.1833,0.0025,1.0,1.0,621.695686149,0.0025,500.0,100,2,1.0
-97.964047961,291.079517447,500,-106.734,-97.964047961,6.91399e-05,91.11,-97.964047961,631.579159469,-97.5305,0.748675,2.87673e-06,1.0203,0.8,44.0188,0.002,1.56093,8.93008,631.579159469,0.0175048,320.322663889,100,1,0.0352717
-96.8234997956,100.0,500,-107.408,-96.8234997956,0.01,114.65,-96.8234997956,925.102255493,-96.8235,,3.50449e-18,1.0,0.8,30.263,0.01,1.0,1.0,925.102255493,0.01,500.0,100,2,1.0
-97.6575987291,200.000000102,500,-104.725,-97.6575987291,0.005,98.21,-97.6575987291,470.447488168,-97.2405,,2.1793e-19,1.0,0.8,26.2863,0.005,1.0,1.0,470.447488168,0.005,500.0,100,2,1.0
-97.4009098949,299.999969474,500,-108.455,-97.4009098949,0.00333333,142.97,-97.4009098949,1774.86529696,-97.294,,5.43914e-20,1.0,0.8,32.3475,0.00333333,1.0,1.0,1774.86529696,0.00333333,500.0,100,2,1.0
-100.035034559,400.0,500,-107.645,-100.035034559,0.0025,103.79,-100.035034559,743.458229632,-97.9793,,5.4346e-20,1.0,0.8,31.1478,0.0025,1.0,1.0,743.458229632,0.0025,500.0,100,2,1.0
-98.6577275194,31.0136264188,500,-88.9658,-98.6577275194,3.46989e-18,111.91,-98.6577275194,690.964557406,-56.5712,24.2437,6.0609e-05,1.26491,0.8,241.359,0.002,14.0409,49.2267,690.964557406,0.0778341,35.6101773404,100,1,2.19456e-15
-72.6887587079,100.0,500,-80.3534,-72.6887587079,0.01,255.23,-72.6887587079,3130.59805911,-72.6888,,3.50449e-18,1.0,0.8,55.6713,0.01,1.0,1.0,3130.59805911,0.01,500.0,100,2,1.0
-81.8585300599,200.000000102,500,-85.0265,-81.8585300599,0.005,273.06,-81.8585300599,3138.77109796,-77.2736,,2.1793e-19,1.0,0.8,55.896,0.005,1.0,1.0,3138.77109796,0.005,500.0,100,2,1.0
-72.7997056012,299.999969474,500,-82.1125,-72.7997056012,0.00333333,267.67,-72.7997056012,2675.07378685,-75.7823,,5.43914e-20,1.0,0.8,54.4989,0.00333333,1.0,1.0,2675.07378685,0.00333333,500.0,100,2,1.0
-74.800386126,400.0,500,-81.0491,-74.800386126,0.0025,253.72,-74.800386126,3478.36676644,-75.5368,,5.4346e-20,1.0,0.8,55.5758,0.0025,1.0,1.0,3478.36676644,0.0025,500.0,100,2,1.0
-65.3244781603,3.81859160899,500,-1.1383,-65.3244781603,,308.98,-65.3244781603,2853.29241455,41.7501,139.741,0.000520795,1.036,0.8,296.412,0.002,75.6709,244.183,2853.29241455,0.471397,6.60755731302,100,1,
-0.544076799069,100.0,500,-7.01461,-0.544076799069,0.01,423.45,-0.544076799069,4023.26229965,-0.544076,,3.50449e-18,1.0,0.8,63.1112,0.01,1.0,1.0,4023.26229965,0.01,500.0,100,2,1.0
-1.07472133491,200.000000102,500,-5.9578,-1.07472133491,0.005,432.95,-1.07472133491,3537.45545185,-0.809398,,2.1793e-19,1.0,0.8,61.177,0.005,1.0,1.0,3537.45545185,0.005,500.0,100,2,1.0
-4.11341073847,299.999969474,500,-6.3304,-4.11341073847,0.00333333,446.03,-4.11341073847,3038.73305548,-1.91074,,5.43914e-20,1.0,0.8,59.1633,0.00333333,1.0,1.0,3038.73305548,0.00333333,500.0,100,2,1.0
-5.14561749679,400.0,500,-6.54699,-5.14561749679,0.0025,427.18,-5.14561749679,3964.29160346,-2.71946,,5.4346e-20,1.0,0.8,60.0695,0.0025,1.0,1.0,3964.29160346,0.0025,500.0,100,2,1.0
-12.7671262857,3.23235954514,500,29.1727,-12.7671262857,,398.9,-12.7671262857,4931.28469975,61.4168,233.958,0.000615975,1.23259,0.8,131.459,0.002,80.9466,312.134,4931.28469975,0.506471,6.17691387863,100,1,
18.9255657912,100.0,500,12.2657,18.9255657912,0.01,487.2,18.9255657912,1544.93271154,18.9256,,3.50449e-18,1.0,0.8,39.1086,0.01,1.0,1.0,1544.93271154,0.01,500.0,100,2,1.0
20.7262517819,200.000000102,500,14.7414,20.7262517819,0.005,490.48,20.7262517819,1813.33552026,19.8259,,2.1793e-19,1.0,0.8,40.7818,0.005,1.0,1.0,1813.33552026,0.005,500.0,100,2,1.0
18.6192036947,299.999969474,500,15.2722,18.6192036947,0.00333333,485.01,18.6192036947,1800.39266307,19.4237,,5.43914e-20,1.0,0.8,41.2701,0.00333333,1.0,1.0,1800.39266307,0.00333333,500.0,100,2,1.0
18.1317620215,400.0,500,15.1035,18.1317620215,0.0025,494.39,18.1317620215,1220.31140944,19.1007,,5.4346e-20,1.0,0.8,39.7462,0.0025,1.0,1.0,1220.31140944,0.0025,500.0,100,2,1.0
17.7411889155,8.89665993062,500,30.2479,17.7411889155,7.46535e-21,498.15,17.7411889155,1060.306901,50.2468,72.9246,0.000221246,1.14823,0.8,166.154,0.002,31.2897,150.326,1060.306901,0.26184,15.9796869543,100,1,4.28597e-18
37.1878613246,100.0,500,31.2451,37.1878613246,0.01,496.37,37.1878613246,584.387365374,37.1879,,3.50449e-18,1.0,0.8,24.0529,0.01,1.0,1.0,584.387365374,0.01,500.0,100,2,1.0
38.773696076,200.000000102,500,33.7786,38.773696076,0.005,500.0,38.773696076,477.869421638,37.9808,,2.1793e-19,1.0,0.8,22.9444,0.005,1.0,1.0,477.869421638,0.005,500.0,100,2,1.0
35.1271771945,299.999969474,500,33.5985,35.1271771945,0.00333333,500.0,35.1271771945,304.882298858,37.0296,,5.43914e-20,1.0,0.8,21.2928,0.00333333,1.0,1.0,304.882298858,0.00333333,500.0,100,2,1.0
30.5036887809,400.0,500,32.4267,30.5036887809,0.0025,491.5,30.5036887809,820.970460297,35.3981,,5.4346e-20,1.0,0.8,23.4779,0.0025,1.0,1.0,820.970460297,0.0025,500.0,100,2,1.0
38.442459821,3.30816186365,500,46.8044,38.442459821,,496.51,38.442459821,537.693887741,70.2536,91.8598,0.000601769,0.781408,0.8,80.9562,0.002,77.8483,166.132,537.693887741,0.425213,6.42274743959,100,1,
42.2802615028,100.0,500,37.9632,42.2802615028,0.01,500.0,42.2802615028,272.256162505,42.2803,,3.50449e-18,1.0,0.8,16.4175,0.01,1.0,1.0,272.256162505,0.01,500.0,100,2,1.0
43.6325299485,200.000000102,500,39.8727,43.6325299485,0.005,500.0,43.6325299485,314.737008623,42.9564,,2.1793e-19,1.0,0.8,17.0593,0.005,1.0,1.0,314.737008623,0.005,500.0,100,2,1.0
42.0454122158,299.999969474,500,40.1349,42.0454122158,0.00333333,500.0,42.0454122158,342.270229268,42.6527,,5.43914e-20,1.0,0.8,17.5256,0.00333333,1.0,1.0,342.270229268,0.00333333,500.0,100,2,1.0
37.8009994077,400.0,500,39.1793,37.8009994077,0.0025,497.64,37.8009994077,483.225421811,41.4398,,5.4346e-20,1.0,0.8,18.8248,0.0025,1.0,1.0,483.225421811,0.0025,500.0,100,2,1.0
