Bound,J,AvgRet,eRenyi2,MinVanillaIw,VarRet,AvgNormIw,VarNormIw,AvgDiscRet,AvgEpLen,MaxVanillaIw,ESSRenyi,VarJ,BatchSize,VarVanillaIw,MinNormIw,MaxNormIw,ESSClassic,AvgVanillaIw,VarDiscRet
-9.819819,-7.918458,-7.923456038480951,1.0057193,0.9506515,57.915239730813084,0.01,3.4905324e-06,-7.923456038480951,200.0,1.8880396,99.43132203373759,7.6903462,100,0.03408277,0.009620547,0.019106869,96.65980268313585,0.988147,57.915239730813084
-10.839456,-8.811417,-8.949263076800563,1.0034544,0.5832515,55.834044058482846,0.0100000035,1.7483551e-06,-8.949263076800563,200.0,1.0442278,99.6557445329338,7.394555,100,0.017579483,0.0058165784,0.010413747,98.29855122956958,1.0027398,55.834044058482846
-9.780918,-7.7223034,-7.832978601987783,1.0021156,0.63474035,47.730203022744526,0.010000003,1.0361896e-06,-7.832978601987783,200.0,1.0341628,99.78888590833958,6.850436,100,0.010490851,0.006308273,0.010277873,98.98455986086945,1.006203,47.730203022744526
-10.027862,-8.081963,-8.317546597972232,1.01605,0.92172825,52.67597155315037,0.01,1.4500956e-05,-8.317546597972232,200.0,2.8533053,98.42035515815866,7.4694977,100,0.14471719,0.0092265885,0.02856186,87.44627884542008,0.9989914,52.67597155315037
-10.563595,-8.532868,-8.816362524759704,1.0213194,0.91163296,50.561186691656665,0.010000002,1.4994347e-05,-8.816362524759704,200.0,2.6794841,97.91256392802151,7.115184,100,0.14995117,0.009116097,0.026794158,87.07432673712466,1.0000255,50.561186691656665
-11.185326,-9.16955,-9.191806228441004,1.0002136,0.98981357,50.29196917906621,0.009999998,1.242766e-07,-9.191806228441004,200.0,1.102161,99.97864225781846,7.0324693,100,0.0012481711,0.009876684,0.010997724,99.87713519563995,1.002172,50.29196917906621
-8.612765,-6.720862,-6.840498773280075,1.0056732,0.57087606,43.57482935826258,0.01,2.5314214e-06,-6.840498773280075,200.0,1.057668,99.43588332089882,6.5561666,100,0.025276408,0.005713029,0.010584587,97.55516286057241,0.9992529,43.57482935826258
-9.567888,-7.572935,-7.577379471865529,1.0000191,0.99679697,46.03928825476702,0.010000002,1.2947347e-08,-7.577379471865529,200.0,1.0345573,99.99809268774628,6.7485847,100,0.00012962235,0.0099622635,0.01033965,99.98714163246349,1.0005728,46.03928825476702
-10.508187,-8.413123,-8.59891797933023,1.005029,0.9534935,52.84626855465047,0.010000003,3.4921206e-06,-8.59891797933023,200.0,1.6114628,99.49962008323297,7.1574993,100,0.035814594,0.009415261,0.015912373,96.65831137916678,1.0127106,52.84626855465047
-9.586409,-7.6279182,-7.651622050548631,1.0002937,0.98811966,45.76778163324154,0.01,1.6754838e-07,-7.651622050548631,200.0,1.1186073,99.9706354563517,6.703956,100,0.0016837829,0.009856817,0.011158474,99.83443242670575,1.0024734,45.76778163324154
-10.728362,-8.802092,-8.772517242187824,1.0022417,0.9681653,55.58457932239253,0.010000003,8.9573365e-07,-8.772517242187824,200.0,1.3349689,99.7763283426186,7.4630804,100,0.008847348,0.009741647,0.013432413,99.12100895447996,0.99384147,55.58457932239253
-9.611827,-7.6317425,-7.912296671931561,1.0123552,0.44836962,52.02911180822381,0.009999998,4.9935734e-06,-7.912296671931561,200.0,1.0883548,98.77955797585352,7.337182,100,0.049811672,0.004489276,0.0108970925,95.28928769734907,0.9987571,52.02911180822381
-10.828833,-8.8256235,-8.826667898082816,1.0003395,0.98720604,53.65769435158215,0.01,1.7589721e-07,-8.826667898082816,200.0,1.1409483,99.96606071699595,7.330076,100,0.0017572318,0.009876944,0.011415128,99.82619445851915,0.9995055,53.65769435158215
-9.2219095,-7.2213717,-7.213394603605355,1.0000153,0.9738706,52.00528619386839,0.01,9.462576e-09,-7.213394603605355,200.0,1.0026184,99.99847414437646,7.179978,100,9.4414434e-05,0.009749614,0.010037414,99.99064036201575,0.9988812,52.00528619386839
-9.41554,-7.499774,-7.543050103834872,1.0027847,0.66345483,45.366773369450534,0.010000002,1.4034918e-06,-7.543050103834872,200.0,1.0394746,99.7223004176906,6.655816,100,0.013981985,0.006647095,0.010414404,98.62957362533874,0.99811244,45.366773369450534
-9.651349,-7.7418065,-7.787424761148538,1.0054891,0.95157856,51.672037269265275,0.010000002,3.065607e-06,-7.787424761148538,200.0,1.6817573,99.45408549064372,7.1515083,100,0.03037402,0.009559865,0.016895477,97.05439983782045,0.9953891,51.672037269265275
