Delta,VanillaAvgRet,Bound,ESSRenyi,MaxNormIw,SamplesThisIter,AvgEpLen,VarDiscRet,VarNormIw,AvgNormIw,ESSClassic,VarJ,AvgRet,J,VarRet,IterType,eRenyi2,AvgVanillaIw,AvgDiscRet,MinVanillaIw,VarVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw,BatchSize
0.6,49.9922844908,35.1453,100.0,0.000120048,50000,6.00240096038,4338.69014789,2.11784e-22,0.000120048,8329.99939721,65.8648,49.9922844908,49.9923,4338.69014789,1,1.0,1.0,49.9922844908,1.0,,8330,1.0,0.000120048,100
0.6,48.8407983614,41.1345,100.0,0.000117744,50000,5.88720122454,3549.39531732,4.76512e-22,0.000117744,8493.0005936,59.5733,48.8407983614,48.8408,3549.39531732,1,1.0,1.0,48.8407983614,1.0,,8493,1.0,0.000117744,100
0.6,50.3689690093,39.5124,100.0,0.000120802,50000,6.04010630587,4078.01718862,2.11784e-22,0.000120802,8278.0003843,63.8555,50.3689690093,50.369,4078.01718862,1,1.0,1.0,50.3689690093,1.0,,8278,1.0,0.000120802,100
0.6,49.371869048,36.6492,100.0,0.000118807,50000,5.94035879767,3483.28156458,2.11783e-22,0.000118807,8417.00006184,59.0158,49.371869048,49.3719,3483.28156458,1,1.0,1.0,49.371869048,1.0,,8417,1.0,0.000118807,100
0.6,49.718525796,37.4927,100.0,0.000119503,50000,5.97514340344,3919.11998155,2.11784e-22,0.000119503,8367.99943013,62.5991,49.718525796,49.7185,3919.11998155,1,1.0,1.0,49.718525796,1.0,,8368,1.0,0.000119503,100
0.6,49.4356583353,33.5002,100.0,0.000118934,50000,5.94671741199,3988.1270224,4.76513e-22,0.000118934,8408.00044701,63.1479,49.4356583353,49.4357,3988.1270224,1,1.0,1.0,49.4356583353,1.0,,8408,1.0,0.000118934,100
0.6,50.0917240563,40.7821,100.0,0.00012025,50000,6.01250601251,3793.4171071,2.11784e-22,0.00012025,8315.99941038,61.587,50.0917240563,50.0917,3793.4171071,1,1.0,1.0,50.0917240563,1.0,,8316,1.0,0.00012025,100
0.6,50.1521390442,5.36943,100.0,0.000120366,50000,6.01829561868,6670.67790562,2.11784e-22,0.000120366,8307.99989327,81.6693,50.1521390442,50.1521,6670.67790562,1,1.0,1.0,50.1521390442,1.0,,8308,1.0,0.000120366,100
0.6,48.5716236689,36.8209,100.0,0.000117206,50000,5.86029067042,3823.7525071,4.76512e-22,0.000117206,8531.99964719,61.8329,48.5716236689,48.5716,3823.7525071,1,1.0,1.0,48.5716236689,1.0,,8532,1.0,0.000117206,100
0.6,48.4892035463,40.9833,100.0,0.000117041,50000,5.85205992509,3402.77940057,4.76512e-22,0.000117041,8543.99971709,58.3299,48.4892035463,48.4892,3402.77940057,1,1.0,1.0,48.4892035463,1.0,,8544,1.0,0.000117041,100
0.6,49.3155966007,35.8871,100.0,0.000118694,50000,5.93471810089,3980.74667497,2.11783e-22,0.000118694,8425.0005017,63.0894,49.3155966007,49.3156,3980.74667497,1,1.0,1.0,49.3155966007,1.0,,8425,1.0,0.000118694,100
0.6,49.9774576808,43.8073,100.0,0.000120019,50000,6.00096015362,3451.07299698,5.29459e-23,0.000120019,8331.99942901,58.7423,49.9774576808,49.9775,3451.07299698,1,1.0,1.0,49.9774576808,1.0,,8332,1.0,0.000120019,100
0.6,48.3870061741,37.0965,100.0,0.000116836,50000,5.84180394906,3456.93843103,4.76512e-22,0.000116836,8559.00029792,58.7923,48.3870061741,48.387,3456.93843103,1,1.0,1.0,48.3870061741,1.0,,8559,1.0,0.000116836,100
0.6,50.2018698947,44.0201,100.0,0.000120467,50000,6.02337067823,3624.45928275,2.11784e-22,0.000120467,8300.999764,60.1999,50.2018698947,50.2019,3624.45928275,1,1.0,1.0,50.2018698947,1.0,,8301,1.0,0.000120467,100
0.6,49.3145332111,39.3559,100.0,0.000118694,50000,5.93471810089,3782.13186621,2.11783e-22,0.000118694,8425.0005017,61.4954,49.3145332111,49.3145,3782.13186621,1,1.0,1.0,49.3145332111,1.0,,8425,1.0,0.000118694,100
0.6,49.6269748255,25.0153,100.0,0.000119318,50000,5.96587519389,4687.51342976,8.47134e-22,0.000119318,8381.00065265,68.4613,49.6269748255,49.627,4687.51342976,1,1.0,1.0,49.6269748255,1.0,,8381,1.0,0.000119318,100
0.6,50.7717166061,43.3912,100.0,0.00012161,50000,6.08050589809,3842.49155231,,0.00012161,8223.00056105,61.9841,50.7717166061,50.7717,3842.49155231,1,1.0,1.0,50.7717166061,1.0,,8223,1.0,0.00012161,100
0.6,49.020271362,39.4394,100.0,0.000118106,50000,5.90527931971,3814.02317675,4.76512e-22,0.000118106,8466.99979521,61.7541,49.020271362,49.0203,3814.02317675,1,1.0,1.0,49.020271362,1.0,,8467,1.0,0.000118106,100
0.6,49.421277072,37.3169,100.0,0.000118906,50000,5.94530321046,3984.67092574,2.11783e-22,0.000118906,8409.99953365,63.1205,49.421277072,49.4213,3984.67092574,1,1.0,1.0,49.421277072,1.0,,8410,1.0,0.000118906,100
0.6,48.7850620483,40.1968,100.0,0.000117633,50000,5.88166098106,3351.30764728,2.11783e-22,0.000117633,8501.00017991,57.8871,48.7850620483,48.7851,3351.30764728,1,1.0,1.0,48.7850620483,1.0,,8501,1.0,0.000117633,100
0.6,48.9100509583,43.0604,100.0,0.000117883,50000,5.89414122362,3320.68631572,8.47133e-22,0.000117883,8483.00003033,57.622,48.9100509583,48.91,3320.68631572,1,1.0,1.0,48.9100509583,1.0,,8483,1.0,0.000117883,100
0.6,48.6882659621,42.4955,100.0,0.00011744,50000,5.87199060482,3319.39275803,2.11783e-22,0.00011744,8515.00024922,57.6108,48.6882659621,48.6883,3319.39275803,1,1.0,1.0,48.6882659621,1.0,,8515,1.0,0.00011744,100
0.6,48.7355925131,38.912,100.0,0.000117536,50000,5.87682181476,3647.6454788,2.11783e-22,0.000117536,8507.99954319,60.3922,48.7355925131,48.7356,3647.6454788,1,1.0,1.0,48.7355925131,1.0,,8508,1.0,0.000117536,100
0.6,48.4334375794,41.3737,100.0,0.000116932,50000,5.84658559401,3366.32240974,8.47132e-22,0.000116932,8551.99931207,58.0167,48.4334375794,48.4334,3366.32240974,1,1.0,1.0,48.4334375794,1.0,,8552,1.0,0.000116932,100
0.6,49.9058001239,42.2199,100.0,0.000119875,50000,5.99376648286,3882.4357501,4.76513e-22,0.000119875,8342.00016806,62.3054,49.9058001239,49.9058,3882.4357501,1,1.0,1.0,49.9058001239,1.0,,8342,1.0,0.000119875,100
0.6,48.1896364334,40.2622,100.0,0.000116442,50000,5.82207731719,3383.41888614,4.76512e-22,0.000116442,8587.99994309,58.1638,48.1896364334,48.1896,3383.41888614,1,1.0,1.0,48.1896364334,1.0,,8588,1.0,0.000116442,100
