ESSRenyi,VarRet,VarNormIw,MinNormIw,MinVanillaIw,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,VarDiscRet,EpsThisIter,AvgEpLen,eRenyi2,VarVanillaIw,Bound,IterType,Delta,J,MaxNormIw,VarJ,ESSClassic,AvgDiscRet,VanillaAvgRet
500.0,16886.4805577,5.4346e-20,0.0025,1.0,4648.95605804,1.0,1.0,0.0025,500,16886.4805577,100,498.68,1.0,,4288.22,2,0.3,4645.66,0.0025,168.021,400.0,4648.95605804,4648.95605804
491.387574888,197.97551473,8.09226e-08,0.000596979,0.298158,4663.12738742,0.998888,1.2493,0.002,500,197.97551473,100,500.0,1.01753,0.0201857,4333.73,1,0.3,4656.22,0.00250138,92.0069,490.104717251,4663.12738742,4663.12738742
500.0,249.852209021,3.50449e-18,0.01,1.0,4664.71543992,1.0,1.0,0.01,500,249.852209021,100,500.0,1.0,,3949.87,2,0.3,4664.72,0.01,15.7275,100.0,4664.71543992,4664.71543992
500.0,182.791784978,2.1793e-19,0.005,1.0,4664.51612675,1.0,1.0,0.005,500,182.791784978,100,500.0,1.0,,4159.15,2,0.3,4664.62,0.005,14.6345,200.000000102,4664.51612675,4664.51612675
500.0,26728.9463905,5.43914e-20,0.00333333,1.0,4646.32959396,1.0,1.0,0.00333333,500,26728.9463905,100,498.27,1.0,,4245.81,2,0.3,4658.52,0.00333333,95.0665,299.999969474,4646.32959396,4646.32959396
500.0,142.979607506,5.4346e-20,0.0025,1.0,4665.39799405,1.0,1.0,0.0025,500,142.979607506,100,500.0,1.0,,4302.82,2,0.3,4660.24,0.0025,82.5983,400.0,4665.39799405,4665.39799405
498.345681169,236.721372071,1.2514e-08,0.00138628,0.693267,4664.25350548,1.00018,1.11071,0.002,500,236.721372071,100,500.0,1.00332,0.00312964,4342.05,1,0.3,4662.27,0.00222102,52.5384,498.443666504,4664.25350548,4664.25350548
500.0,182.64589776,3.50449e-18,0.01,1.0,4663.90090999,1.0,1.0,0.01,500,182.64589776,100,500.0,1.0,,3949.04,2,0.3,4663.9,0.01,13.4469,100.0,4663.90090999,4663.90090999
500.0,105.245193814,2.1793e-19,0.005,1.0,4667.14407668,1.0,1.0,0.005,500,105.245193814,100,500.0,1.0,,4160.04,2,0.3,4665.52,0.005,12.0472,200.000000102,4667.14407668,4667.14407668
500.0,205.944897518,5.43914e-20,0.00333333,1.0,4663.50190057,1.0,1.0,0.00333333,500,205.944897518,100,500.0,1.0,,4252.12,2,0.3,4664.85,0.00333333,12.8696,299.999969474,4663.50190057,4663.50190057
500.0,207.49746106,5.4346e-20,0.0025,1.0,4667.05474844,1.0,1.0,0.0025,500,207.49746106,100,500.0,1.0,,4307.96,2,0.3,4665.4,0.0025,13.2849,400.0,4667.05474844,4667.05474844
499.628522028,199.47013451,3.16244e-09,0.00171686,0.85933,4665.73453953,1.00105,1.07082,0.002,500,199.47013451,100,500.0,1.00074,0.000792273,4345.87,1,0.3,4665.69,0.00213939,12.9397,499.605882046,4665.73453953,4665.73453953
500.0,18006.933019,3.50449e-18,0.01,1.0,4652.78499373,1.0,1.0,0.01,500,18006.933019,100,498.62,1.0,,3937.93,2,0.3,4652.79,0.01,133.517,100.0,4652.78499373,4652.78499373
500.0,90533.7442123,2.1793e-19,0.005,1.0,4634.76490529,1.0,1.0,0.005,500,90533.7442123,100,496.79,1.0,,4138.29,2,0.3,4643.77,0.005,231.967,200.000000102,4634.76490529,4634.76490529
500.0,13445.7737546,5.43914e-20,0.00333333,1.0,4653.69813001,1.0,1.0,0.00333333,500,13445.7737546,100,498.89,1.0,,4234.35,2,0.3,4647.08,0.00333333,200.827,299.999969474,4653.69813001,4653.69813001
500.0,116730.092515,5.4346e-20,0.0025,1.0,4630.93480015,1.0,1.0,0.0025,500,116730.092515,100,496.35,1.0,,4285.61,2,0.3,4643.04,0.0025,243.286,400.0,4630.93480015,4630.93480015
488.875907018,242.35111659,9.65941e-08,0.000803541,0.400807,4664.52468406,0.997602,1.34733,0.002,500,242.35111659,100,500.0,1.02275,0.0240328,4334.02,1,0.3,4657.34,0.00270114,100.278,488.23338268,4664.52468406,4664.52468406
500.0,287.444447854,3.50449e-18,0.01,1.0,4664.47263428,1.0,1.0,0.01,500,287.444447854,100,500.0,1.0,,3949.63,2,0.3,4664.47,0.01,16.8692,100.0,4664.47263428,4664.47263428
500.0,25871.8330156,2.1793e-19,0.005,1.0,4643.51434514,1.0,1.0,0.005,500,25871.8330156,100,497.86,1.0,,4148.52,2,0.3,4653.99,0.005,114.274,200.000000102,4643.51434514,4643.51434514
