VarVanillaIw,MinNormIw,VarDiscRet,delta,MinVanillaIw,Bound,AvgVanillaIw,AvgEpLen,J,VarNormIw,VanillaAvgRet,SamplesThisIter,MaxNormIw,MaxVanillaIw,AvgRet,AvgNormIw,BatchSize,renyi2,AvgDiscRet,EpsThisIter,VarRet,ESSRenyi,ESSClassic,VarJ,IterType
0.000266844,5.26894e-05,0.334520445872,0.7,0.94714,-437.087,0.998661,500.0,-73834.7,8.25801e-13,-410.199854462,50000,5.90771e-05,1.06196,-410.199854462,5.55556e-05,100,40.8777,-410.199854462,100,0.334520445872,1.76618071068e-16,0.570384777569,7.86269,1
0.000835072,4.96359e-05,1.00181037612,0.7,0.897065,-436.572,1.00405,500.0,-73739.5,2.55663e-12,-409.685610721,50000,6.27227e-05,1.13358,-409.685610721,5.55556e-05,100,40.8782,-409.685610721,100,1.00181037612,1.76532528035e-16,0.571924806242,13.4636,1
0.00100905,5.06892e-05,1.29592876258,0.7,0.906556,-436.744,0.993589,500.0,-73774.3,3.15466e-12,-409.883924196,50000,6.97757e-05,1.24791,-409.883924196,5.55556e-05,100,40.8739,-409.883924196,100,1.29592876258,1.77285668101e-16,0.576812779041,16.1594,1
0.103627,5.96184e-06,85.4945436804,0.7,0.110322,-432.376,1.02804,500.0,-72875.7,3.02627e-10,-407.085308533,50000,0.000126253,2.33627,-407.085308533,5.55556e-05,100,nan,-407.085308533,100,85.4945436804,nan,0.867700625731,196.68,1
0.00185329,5.04632e-05,2.68980505283,0.7,0.898391,-436.67,0.98905,500.0,-73760.8,5.8474e-12,-409.830309183,50000,8.93086e-05,1.58995,-409.830309183,5.55556e-05,100,40.8636,-409.830309183,100,2.68980505283,1.79121085776e-16,0.57948663009,27.7294,1
0.000334274,5.32966e-05,0.492451910716,0.7,0.954163,-436.868,0.994605,500.0,-73797.4,1.04293e-12,-409.994112957,50000,6.97887e-05,1.24942,-409.994112957,5.55556e-05,100,40.8588,-409.994112957,100,0.492451910716,1.79995087317e-16,0.56818607712,10.3277,1
0.000361363,5.21771e-05,0.438558181677,0.7,0.939915,-436.792,1.00077,500.0,-73777.3,1.11359e-12,-409.883580012,50000,5.99247e-05,1.07948,-409.883580012,5.55555e-05,100,40.8523,-409.883580012,100,0.438558181677,1.81157857527e-16,0.565386857476,8.96495,1
0.00111594,4.85759e-05,1.40984514151,0.7,0.866246,-437.362,0.990713,500.0,-73856.3,3.50914e-12,-410.341352532,50000,7.03127e-05,1.25387,-410.341352532,5.55556e-05,100,40.8555,-410.341352532,100,1.40984514151,1.80584488436e-16,0.580609069209,15.9784,1
0.000407205,5.0863e-05,0.536578005926,0.7,0.915881,-436.721,1.00038,500.0,-73768.5,1.25586e-12,-409.835866524,50000,6.03554e-05,1.08681,-409.835866524,5.55556e-05,100,40.847,-409.835866524,100,0.536578005926,1.82125846393e-16,0.56663216242,9.89791,1
0.000178055,5.34342e-05,0.232897238635,0.7,0.962113,-436.761,1.00031,500.0,-73776.9,5.49214e-13,-409.876545191,50000,5.86663e-05,1.05632,-409.876545191,5.55555e-05,100,40.8466,-409.876545191,100,0.232897238635,1.82192555044e-16,0.564881336498,6.45305,1
0.000144122,5.36578e-05,0.178362468197,0.7,0.961984,-437.023,0.996007,500.0,-73825.5,4.48396e-13,-410.145005172,50000,6.08661e-05,1.09122,-410.145005172,5.55556e-05,100,40.8466,-410.145005172,100,0.178362468197,1.82204371821e-16,0.56652992975,5.69368,1
0.000210271,5.34993e-05,0.249070965312,0.7,0.955988,-437.057,0.992731,500.0,-73829.7,6.58522e-13,-410.169476597,50000,6.11257e-05,1.09226,-410.169476597,5.55556e-05,100,40.8499,-410.169476597,100,0.249070965312,1.81593058198e-16,0.567110752364,6.75554,1
0.000281116,5.27929e-05,0.357074097665,0.7,0.947716,-436.95,0.99731,500.0,-73810.3,8.72328e-13,-410.064801297,50000,6.09801e-05,1.09469,-410.064801297,5.55556e-05,100,40.8528,-410.064801297,100,0.357074097665,1.81076333207e-16,0.566105468569,8.09246,1
0.0230045,3.34039e-05,23.5123955787,0.7,0.606373,-434.824,1.00849,500.0,-73407.8,6.98113e-11,-408.385073618,50000,8.95572e-05,1.62571,-408.385073618,5.55556e-05,100,40.8474,-408.385073618,100,23.5123955787,1.82054995621e-16,0.642952983278,83.8491,1
0.0281579,2.52365e-05,26.3437481772,0.7,0.46119,-434.56,1.01526,500.0,-73351.8,8.43138e-11,-408.161827777,50000,9.17669e-05,1.67702,-408.161827777,5.55556e-05,100,nan,-408.161827777,100,26.3437481772,nan,0.704376793561,90.4585,1
0.000945874,5.18772e-05,1.33713208421,0.7,0.925463,-436.892,0.991082,500.0,-73801.3,2.97214e-12,-410.031018184,50000,8.05448e-05,1.43688,-410.031018184,5.55556e-05,100,40.8367,-410.031018184,100,1.33713208421,1.84005062298e-16,0.571060797325,18.456,1
