IterType,AvgEpLen,MaxVanillaIw,AvgDiscRet,VarNormIw,VarRet,MinVanillaIw,AvgRet,BatchSize,ESSRenyi,VarJ,MinNormIw,AvgNormIw,VarDiscRet,ESSClassic,eRenyi2,VarVanillaIw,EpsThisIter,MaxNormIw,VanillaAvgRet,AvgVanillaIw,Bound,J
2,108.06,1.0,27.02610145133969,5.434597e-20,1434.739104176661,1.0,27.02610145133969,500,500.0,38.215263,0.0025,0.0024999997,1434.739104176661,400.0,1.0,,100,0.0025,27.02610145133969,1.0,15.650858,24.20562
1,106.34,2159990.0,23.202809962652438,0.0019989528,1400.7424581241044,0.13161585,23.202809962652438,500,419.55597310274965,0.93140274,6.0917614e-08,0.002,1400.7424581241044,1.0005229874486814,1.1917361,9331107000.0,100,0.99973863,23.202809962652438,4321.1094,194.89784,203.25085
2,106.35,1.0,21.100444617221143,3.5044917e-18,1113.9752536160286,1.0,21.100444617221143,500,500.0,33.208965,0.01,0.009999998,1113.9752536160286,100.0,1.0,,100,0.01,21.100444617221143,1.0,11.519403,21.100445
2,107.39,1.0,22.346578399764624,2.179301e-19,1551.919344129273,1.0,22.346578399764624,500,500.0,36.331886,0.005,0.0049999994,1551.919344129273,200.00000010221265,1.0,,100,0.005,22.346578399764624,1.0,13.458106,21.72351
2,105.67,1.0,19.183466910072823,5.4391416e-20,1335.3445675941643,1.0,19.183466910072823,500,500.0,36.360714,0.0033333334,0.0033333336,1335.3445675941643,299.999969473632,1.0,,100,0.0033333334,19.183466910072823,1.0,14.128155,20.87683
2,102.29,1.0,24.084989143521007,5.434597e-20,1330.9970779107373,1.0,24.084989143521007,500,500.0,36.37207,0.0025,0.0024999997,1330.9970779107373,400.0,1.0,,100,0.0025,24.084989143521007,1.0,14.063547,21.678871
1,105.64,28493320.0,20.433687841622245,0.0019999288,1130.4905672249026,0.13325807,20.433687841622245,500,406.09084370247064,0.058072906,4.676735e-09,0.0019999999,1130.4905672249026,1.0000355174120048,1.2312516,1623738400000.0,100,0.99998224,20.433687841622245,56987.652,173.40736,180.96536
2,107.78,1.0,23.852096840549926,3.5044917e-18,1460.4109925451928,1.0,23.852096840549926,500,500.0,38.023766,0.01,0.009999998,1460.4109925451928,100.0,1.0,,100,0.01,23.852096840549926,1.0,13.043806,23.852095
2,109.62,1.0,26.56755157437788,2.179301e-19,1551.4476255854586,1.0,26.56755157437788,500,500.0,38.63565,0.005,0.0049999994,1551.4476255854586,200.00000010221265,1.0,,100,0.005,26.56755157437788,1.0,16.18111,25.209824
2,112.12,1.0,14.945344778025571,5.4391416e-20,1423.3735959125102,1.0,14.945344778025571,500,500.0,38.578087,0.0033333334,0.0033333336,1423.3735959125102,299.999969473632,1.0,,100,0.0033333334,14.945344778025571,1.0,14.416418,21.788332
2,109.55,1.0,18.426116180094894,5.434597e-20,1610.269648235741,1.0,18.426116180094894,500,500.0,38.946926,0.0025,0.0024999997,1610.269648235741,400.0,1.0,,100,0.0025,18.426116180094894,1.0,14.563512,20.947777
1,102.19,39726384.0,16.052771939208693,0.0019999463,1121.3905051925276,0.09897303,16.052771939208693,500,393.3155088237324,0.03177826,2.4913343e-09,0.0020000006,1121.3905051925276,1.00002678338719,1.271244,3156370800000.0,100,0.9999866,16.052771939208693,79453.83,145.27379,151.71208
2,102.66,1.0,20.881007116152823,3.5044917e-18,1214.404933622215,1.0,20.881007116152823,500,500.0,34.673634,0.01,0.009999998,1214.404933622215,100.0,1.0,,100,0.01,20.881007116152823,1.0,9.970646,20.881004
2,107.33,1.0,27.29341019459018,2.179301e-19,1332.2324755475465,1.0,27.29341019459018,500,500.0,35.649197,0.005,0.0049999994,1332.2324755475465,200.00000010221265,1.0,,100,0.005,27.29341019459018,1.0,16.150188,24.087206
2,109.77,1.0,30.122579740535567,5.4391416e-20,1255.2377069415247,1.0,30.122579740535567,500,500.0,35.630978,0.0033333334,0.0033333336,1255.2377069415247,299.999969473632,1.0,,100,0.0033333334,30.122579740535567,1.0,19.618452,26.098999
2,109.32,1.0,26.155965125751734,5.434597e-20,1353.2044349719988,1.0,26.155965125751734,500,500.0,35.876087,0.0025,0.0024999997,1353.2044349719988,400.0,1.0,,100,0.0025,26.155965125751734,1.0,20.500921,26.11324
1,105.49,363550.25,22.0294222970077,0.0019944552,1182.1133771599254,0.1269543,22.0294222970077,500,449.70195198744955,3.067196,3.4872357e-07,0.0019999999,1182.1133771599254,1.0027745785058961,1.1118475,264336160.0,100,0.99861556,22.0294222970077,728.1085,127.93891,133.23201
2,109.76,1.0,21.400175172505016,3.5044917e-18,1364.7582440335946,1.0,21.400175172505016,500,500.0,36.757458,0.01,0.009999998,1364.7582440335946,100.0,1.0,,100,0.01,21.400175172505016,1.0,6.801484,21.400175
2,105.81,1.0,26.020368598339783,2.179301e-19,1151.2111124704022,1.0,26.020368598339783,500,500.0,35.36582,0.005,0.0049999994,1151.2111124704022,200.00000010221265,1.0,,100,0.005,26.020368598339783,1.0,13.387437,23.71027
2,105.09,1.0,19.634984392685055,5.4391416e-20,1056.8394366559348,1.0,19.634984392685055,500,500.0,34.44235,0.0033333334,0.0033333336,1056.8394366559348,299.999969473632,1.0,,100,0.0033333334,19.634984392685055,1.0,13.9232855,22.351843
2,104.7,1.0,20.025494658338758,5.434597e-20,1262.9132327080208,1.0,20.025494658338758,500,500.0,34.6885,0.0025,0.0024999997,1262.9132327080208,400.0,1.0,,100,0.0025,20.025494658338758,1.0,14.470911,21.770256
1,104.4,3005265.2,21.058284532274364,0.001999287,1358.4465018447008,0.07957051,21.058284532274364,500,418.1840859685878,0.5447768,2.6472323e-08,0.0019999996,1358.4465018447008,1.0003559070708277,1.1956457,18063213000.0,100,0.9998221,21.058284532274364,6011.6,166.29593,173.43481
2,104.11,1.0,24.214214311028528,3.5044917e-18,1375.6177230458998,1.0,24.214214311028528,500,500.0,36.903408,0.01,0.009999998,1375.6177230458998,100.0,1.0,,100,0.01,24.214214311028528,1.0,14.375948,24.214214
2,104.39,1.0,21.73183912930496,2.179301e-19,1289.5586239995819,1.0,21.73183912930496,500,500.0,36.34285,0.005,0.0049999994,1289.5586239995819,200.00000010221265,1.0,,100,0.005,21.73183912930496,1.0,16.01632,22.973024
2,105.56,1.0,20.944057934314237,5.4391416e-20,1097.6562975696233,1.0,20.944057934314237,500,500.0,35.2658,0.0033333334,0.0033333336,1097.6562975696233,299.999969473632,1.0,,100,0.0033333334,20.944057934314237,1.0,16.616577,22.296703
2,100.22,1.0,20.384633463241364,5.434597e-20,1150.012362857726,1.0,20.384633463241364,500,500.0,34.900875,0.0025,0.0024999997,1150.012362857726,400.0,1.0,,100,0.0025,20.384633463241364,1.0,15.632076,21.818684
1,105.99,3328785.0,31.907934919508847,0.001999378,1698.9305632686137,0.15226099,31.907934919508847,500,429.6199542263591,0.37058187,4.573361e-08,0.0019999999,1698.9305632686137,1.0003104977397541,1.1638193,22161605000.0,100,0.9998448,31.907934919508847,6658.6035,141.03035,146.99988
2,106.79,1.0,19.429091154177478,3.5044917e-18,1791.2375371450303,1.0,19.429091154177478,500,500.0,42.110867,0.01,0.009999998,1791.2375371450303,100.0,1.0,,100,0.01,19.429091154177478,1.0,8.71608,19.42909
2,105.78,1.0,24.883295829447878,2.179301e-19,1345.869718532166,1.0,24.883295829447878,500,500.0,39.500698,0.005,0.0049999994,1345.869718532166,200.00000010221265,1.0,,100,0.005,24.883295829447878,1.0,12.202911,22.156193
2,101.14,1.0,22.588898381917943,5.4391416e-20,966.1359007363924,1.0,22.588898381917943,500,500.0,36.865562,0.0033333334,0.0033333336,966.1359007363924,299.999969473632,1.0,,100,0.0033333334,22.588898381917943,1.0,14.173611,22.30043
2,103.72,1.0,22.678981687423786,5.434597e-20,939.6176466072039,1.0,22.678981687423786,500,500.0,35.381985,0.0025,0.0024999997,939.6176466072039,400.0,1.0,,100,0.0025,22.678981687423786,1.0,15.357037,22.39507
1,106.91,4962685.5,22.939568582164398,0.001999581,1250.507650191588,0.11176182,22.939568582164398,500,421.0517016824986,0.3074114,2.2518078e-08,0.0020000006,1250.507650191588,1.0002091718843085,1.1875026,49256473000.0,100,0.99989545,22.939568582164398,9926.409,160.37584,167.23567
2,109.59,1.0,27.34279463201014,3.5044917e-18,1821.6750792711098,1.0,27.34279463201014,500,500.0,42.467144,0.01,0.009999998,1821.6750792711098,100.0,1.0,,100,0.01,27.34279463201014,1.0,16.28839,27.342793
2,105.24,1.0,21.30291853743492,2.179301e-19,1131.1412837359478,1.0,21.30291853743492,500,500.0,38.350544,0.005,0.0049999994,1131.1412837359478,200.00000010221265,1.0,,100,0.005,21.30291853743492,1.0,16.506214,24.322857
2,106.3,1.0,22.68498015612459,5.4391416e-20,1381.6685886045495,1.0,22.68498015612459,500,500.0,37.908524,0.0033333334,0.0033333336,1381.6685886045495,299.999969473632,1.0,,100,0.0033333334,22.68498015612459,1.0,15.533549,23.776897
2,111.23,1.0,20.903249442311044,5.434597e-20,1858.0013579884933,1.0,20.903249442311044,500,500.0,39.232586,0.0025,0.0024999997,1858.0013579884933,400.0,1.0,,100,0.0025,20.903249442311044,1.0,15.919538,23.058487
1,107.27,3616740.5,28.113800845894254,0.001999446,1603.8350170303709,0.26376244,28.113800845894254,500,439.5819348482824,0.41462743,7.291814e-08,0.0019999999,1603.8350170303709,1.000276511163301,1.1374444,26161613000.0,100,0.9998618,28.113800845894254,7234.481,162.81909,169.62904
2,105.52,1.0,20.651081091792733,3.5044917e-18,1501.3247516869583,1.0,20.651081091792733,500,500.0,38.55271,0.01,0.009999998,1501.3247516869583,100.0,1.0,,100,0.01,20.651081091792733,1.0,7.99195,20.65108
