BatchSize,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw,VarJ,MinNormIw,eRenyi2,VarDiscRet,J,VarRet,VarVanillaIw,MaxNormIw,AvgRet,AvgDiscRet,ESSRenyi,AvgNormIw,AvgEpLen,Bound,MaxVanillaIw
100,1.0,100.0,1.0,3.5044917e-18,6.8741956,0.01,1.0,47.73188123213394,5.9604645e-08,47.73188123213394,,0.01,-8.529460398006337,6.661338147750939e-16,100.0,0.009999998,200.0,-1.2698345,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.0864797,0.01,1.0,50.72544776042977,-5.2154064e-08,50.72544776042977,,0.01,-8.572354229409003,-1.2168044349891717e-15,100.0,0.009999998,200.0,-1.2521008,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.299628,0.01,1.0,53.822800850247376,-4.8428774e-08,53.822800850247376,,0.01,-8.79076030147346,-3.019806626980426e-16,100.0,0.009999998,200.0,-1.2209592,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.4803777,0.01,1.0,42.41949224335897,-5.9604645e-08,42.41949224335897,,0.01,-6.606345991936961,5.284661597215745e-16,100.0,0.009999998,200.0,-1.4340949,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1242523,0.01,1.0,51.267641761429,1.4156103e-07,51.267641761429,,0.01,-8.613203551840154,7.105427357601002e-17,100.0,0.009999998,200.0,-1.2847192,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1263523,0.01,1.0,51.29787665352821,5.9604645e-08,51.29787665352821,,0.01,-8.143425971168432,1.6076029396572267e-15,100.0,0.009999998,200.0,-1.2049177,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1640553,0.01,1.0,51.8421158025581,1.0430813e-07,51.8421158025581,,0.01,-8.335539791434227,-3.907985046680551e-16,100.0,0.009999998,200.0,-1.230408,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.081688,0.01,1.0,50.65687198138745,-4.4703484e-08,50.65687198138745,,0.01,-7.21882358401543,1.4122036873231992e-15,100.0,0.009999998,200.0,-1.3546007,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.2645364,0.01,1.0,39.64082291609455,2.9802322e-08,39.64082291609455,,0.01,-6.5393134029692135,6.217248937900877e-17,100.0,0.009999998,200.0,-1.3564241,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.398867,0.01,1.0,55.29620153054692,2.2351742e-08,55.29620153054692,,0.01,-8.707068817817618,1.9451107391432742e-15,100.0,0.009999998,200.0,-1.2656088,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.0270433,0.01,1.0,49.87812026478165,-4.377216e-08,49.878120264781636,,0.01,-7.448233176593262,-5.417888360170764e-16,100.0,0.009999998,200.0,-1.3627412,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.5030427,0.01,1.0,42.71672930095528,-1.6763806e-08,42.71672930095528,,0.01,-7.209920106956953,-3.108624468950438e-16,100.0,0.009999998,200.0,-1.410828,1.0
