Bound,ReturnMeanIW,LearnableVariance,ESSRenyi,OptimizationReturnMin,StdIW,MinIW,MeanIW,EpThisIter,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,Iteration,J_sample_variance,OptimizationReturnMax,MeanEntropy,Weights,InitialReturnMax,ESSClassic,MaxIWNorm,MaxIW,EpLenMean,EpisodesSoFar,StdIWNorm,ReturnStepMaxmin,ReturnStepMax,InitialReturnMean,EpRewMean,OptimizationReturnMean,MinIWNorm,VarianceInit,InitialReturnStd,InitialBound,EmpiricalD2
388.2956,820.1601,True,70.519394,,0.9621418,0.145089,1.2019167,100,273.7430577278137,176128,0.012019166,238.52689,44,579716.9,970.3458,0.6073545,[-0.236  0.254 -0.275  0.014 -0.001  0.119 -0.139 -0.604  0.     0.  0.    -0.801],1208.8727,60.945496,0.056754265,5.6754265,68.87,4400,0.009621418,9.359847,9.359847,637.28656,637.2865855952256,398.75974,0.00145089,-1,259.63132,274.6248,1.4180496
237.93643,722.16064,True,90.88793,,0.30923605,0.42944694,1.0685927,100,287.6905243396759,183093,0.010685926,257.9776,45,226480.42,1280.8088,0.6014777,[-0.232  0.248 -0.276  0.007 -0.008  0.125 -0.15  -0.608  0.     0.  0.    -0.812],1538.7865,92.27268,0.021607364,2.1607363,69.65,4500,0.0030923604,9.359955,9.359955,644.5181,644.518154378168,386.5406,0.0042944695,-1,265.57697,182.8822,1.1002561
392.90527,872.01904,True,69.884,,2.441265,0.112821706,1.2470307,100,300.7997088432312,189779,0.012470308,202.2208,46,3881181.8,1132.8561,0.5884093,[-0.238  0.249 -0.281  0.005 -0.009  0.127 -0.162 -0.62   0.     0.  0.    -0.817],1335.0769,20.693478,0.25143042,25.143044,66.86,4600,0.024412647,9.359789,9.359789,618.35803,618.358031141038,416.13724,0.0011282171,-1,241.75566,217.83499,1.4309427
608.1828,1277.8387,True,32.73239,,6.4516573,0.054058686,1.7177474,100,312.2507574558258,196716,0.017177474,248.56549,47,15472018.0,1028.5183,0.5945661,[-0.217  0.248 -0.285  0.005 -0.009  0.123 -0.163 -0.628  0.     0.  0.    -0.831],1277.0837,6.619599,0.6549329,65.49329,69.37,4700,0.064516574,9.359961,9.359961,641.949,641.948945565543,393.38348,0.0005405868,-1,237.08253,258.82382,3.0550778
292.94797,787.39087,True,85.386055,,0.52298427,0.31573823,1.0851703,100,325.285719871521,204274,0.010851702,229.32413,48,309266.1,1293.6354,0.58545774,[-0.219  0.246 -0.295  0.003 -0.006  0.128 -0.19  -0.678  0.     0.  0.    -0.824],1522.9595,81.15145,0.035659146,3.5659146,75.58,4800,0.005229843,9.3598,9.3598,699.84607,699.8460005776428,470.52188,0.0031573821,-1,281.64322,242.95819,1.1711514
370.7603,832.25323,True,79.88068,,0.5782948,0.2765951,1.1424643,100,336.5530333518982,211716,0.011424643,247.93582,49,369870.66,1126.9438,0.59899265,[-0.228  0.25  -0.298  0.006 -0.004  0.129 -0.195 -0.671  0.     0.  0.    -0.833],1374.8796,79.60389,0.042278808,4.227881,74.42,4900,0.0057829483,9.359887,9.359887,688.85095,688.850946427325,440.91516,0.0027659507,-1,262.79727,276.38715,1.2518672
322.8817,720.65906,True,93.97479,,0.25175124,0.48680708,1.0408403,100,350.79188656806946,219018,0.0104084015,305.7703,50,218401.25,979.58887,0.58678514,[-0.217  0.253 -0.312  0.013  0.004  0.121 -0.208 -0.689  0.     0.  0.    -0.82 ],1285.3591,94.473076,0.020184204,2.0184205,73.02,5000,0.0025175125,9.359926,9.359926,675.6119,675.611821871832,369.84155,0.0048680706,-1,257.1468,290.0041,1.0641152
337.1986,829.98175,True,79.46949,,0.6149197,0.21712182,1.1006558,100,364.13774156570435,226622,0.011006558,276.8512,51,467384.4,1187.4647,0.5878907,[-0.216  0.251 -0.315  0.01   0.001  0.121 -0.215 -0.7    0.     0.  0.    -0.832],1464.3159,76.21203,0.03985193,3.985193,76.04,5100,0.0061491965,9.359703,9.359703,702.33826,702.3383352033795,425.48715,0.0021712182,-1,272.26483,263.04358,1.2583445
452.7151,1233.8339,True,50.29594,,3.1168027,0.06372283,1.5760133,100,374.73757672309875,234244,0.015760135,220.23885,52,5271105.5,1626.3163,0.61770797,[-2.280e-01  2.542e-01 -3.166e-01  7.452e-03  1.500e-04  1.293e-01 -2.082e-01 -7.165e-01  0.000e+00  0.000e+00  0.000e+00 -8.310e-01],1846.5552,20.362038,0.27148014,27.148014,76.22,5200,0.031168027,9.359798,9.359798,705.1796,705.1796280601308,484.94083,0.00063722825,-1,288.57855,151.21313,1.988232
334.50653,817.53687,True,88.57964,,0.39474192,0.47300047,1.0872903,100,387.04597640037537,242229,0.010872901,239.11668,53,228310.16,1276.2583,0.6243607,[-0.23   0.256 -0.324  0.013  0.006  0.116 -0.22  -0.73   0.     0.  0.    -0.801],1515.375,88.35436,0.030975526,3.0975528,79.85,5300,0.003947419,9.359931,9.359931,738.9241,738.9240178534503,499.80734,0.0047300044,-1,278.17123,284.31152,1.1289276
