VarRet,AvgVanillaIw,MinNormIw,Delta,VarVanillaIw,J,AvgRet,VarDiscRet,IterType,VarJ,AvgDiscRet,Bound,AvgNormIw,MaxVanillaIw,ESSClassic,ESSRenyi,AvgEpLen,MinVanillaIw,EpsThisIter,eRenyi2,VanillaAvgRet,BatchSize,MaxNormIw,VarNormIw
3809.08759875,0.97284,0.000706702,0.7,0.207255,-64.5737,-73.2051830742,3809.08759875,1,21.4086,-73.2051830742,-94.6133,0.01,1.64375,82.1828673933,82.6402940946,102.91,0.0687508,100,1.21006,-73.2051830742,100,0.0168964,2.18989e-05
4947.55941409,0.887432,7.69775e-06,0.7,0.427854,-70.0138,-80.0027746136,4947.55941409,1,39.5648,-80.0027746136,-102.907,0.01,2.34184,65.0258260187,68.9249594865,111.5,0.000683123,100,1.45085,-80.0027746136,100,0.026389,5.43283e-05
8288.3325016,1.04998,7.32128e-05,0.7,0.446626,-75.3641,-88.8505484213,8288.3325016,1,68.5695,-88.8505484213,-106.953,0.01,2.52733,71.3742491535,74.735762123,121.5,0.0076872,100,1.33805,-88.8505484213,100,0.0240703,4.05117e-05
6078.45728332,0.98397,0.00689073,0.7,0.0725645,-80.9741,-83.4790619329,6078.45728332,1,67.9346,-83.4790619329,-109.386,0.01,2.35853,93.0926345632,92.3799651321,115.12,0.678027,100,1.08249,-83.4790619329,100,0.0239696,7.49481e-06
4927.0509803,1.0277,0.00466139,0.7,0.165718,-76.0007,-79.1355649802,4927.0509803,1,57.615,-79.1355649802,-104.734,0.01,3.66647,86.5549094395,90.3253468816,110.74,0.479051,100,1.10711,-79.1355649802,100,0.0356764,1.56905e-05
2617.70094248,1.02495,0.00124121,0.7,0.172655,-65.4073,-69.9747601561,2617.70094248,1,23.9332,-69.9747601561,-94.8181,0.01,1.49983,86.0060661315,86.2100441604,99.17,0.127218,100,1.15996,-69.9747601561,100,0.0146332,1.64353e-05
4969.5778055,1.01746,8.12567e-07,0.7,0.541095,-68.3036,-78.4571535574,4969.5778055,1,31.1991,-78.4571535574,-101.141,0.01,2.25878,65.8997905322,69.1595554751,109.34,8.26755e-05,100,1.44593,-78.4571535574,100,0.0222002,5.22682e-05
8302.77710776,1.11755,7.10052e-06,0.7,1.00764,-72.2723,-89.0831892519,8302.77710776,1,49.3449,-89.0831892519,-109.607,0.01,3.2168,55.5942962725,53.5007988504,121.6,0.000793516,100,1.86913,-89.0831892519,100,0.0287845,8.06814e-05
2622.01173949,1.00637,0.00900946,0.7,0.0139377,-69.4952,-70.0338225301,2622.01173949,1,47.4604,-70.0338225301,-97.027,0.01,1.64661,98.6559416107,98.3657552507,98.58,0.906687,100,1.01661,-70.0338225301,100,0.0163619,1.37617e-06
8224.19178433,1.00725,0.000101847,0.7,0.412839,-77.9418,-90.685652692,8224.19178433,1,66.4062,-90.685652692,-110.41,0.01,2.29682,71.2834102948,70.7424390222,123.66,0.0102585,100,1.41358,-90.685652692,100,0.022803,4.0692e-05
1386.58308149,1.0064,0.00281329,0.7,0.0717311,-66.6223,-69.2358723995,1386.58308149,1,16.1643,-69.2358723995,-94.8633,0.01,1.29425,93.4480543923,93.5018578079,99.3,0.28313,100,1.0695,-69.2358723995,100,0.0128602,7.08218e-06
1386.58308149,1.11623,0.00692192,0.7,0.260576,-102.111,-69.2358723995,11295.7606374,,111.111,-101.814429824,-131.579,0.01,3.53195,82.8470182853,171.766240388,99.3,0.772645,100,1.16437,-69.2358723995,200,0.0316418,2.09135e-05
4901.53741569,1.00856,0.000305804,0.7,0.224608,-69.4332,-78.7912412587,4901.53741569,1,34.7874,-78.7912412587,-90.8086,0.005,1.94028,163.973975428,163.211936878,110.22,0.0616845,100,1.2254,-78.7912412587,200,0.00961902,5.52025e-06
3784.51797716,1.0,0.01,0.7,,-75.6738,-75.6738129616,3784.51797716,2,61.2101,-75.6738129616,-102.981,0.01,1.0,100.0,200.0,106.4,1.0,100,1.0,-75.6738129616,200,0.01,3.50449e-18
7170.79787969,1.03628,0.000428851,0.7,0.252017,-75.9243,-86.2679792252,7170.79787969,1,58.4231,-86.2679792252,-97.4043,0.005,3.66699,162.139220584,161.630118518,118.79,0.0888818,100,1.23739,-86.2679792252,200,0.0176931,5.86703e-06
1385.04263394,1.0,0.01,0.7,,-68.4973,-68.4973230758,1385.04263394,2,37.0296,-68.4973230758,-95.8054,0.01,1.0,100.0,200.0,97.93,1.0,100,1.0,-68.4973230758,200,0.01,3.50449e-18
8270.65268656,0.972117,1.2729e-05,0.7,0.476299,-70.1942,-89.6162422842,8270.65268656,1,34.8115,-89.6162422842,-94.1899,0.005,2.49331,133.200709564,129.513397327,123.05,0.00247482,100,1.54424,-89.6162422842,200,0.0128241,1.26003e-05
4958.83128589,1.0,0.01,0.7,,-77.8491,-77.8490532574,4958.83128589,2,70.066,-77.8490532574,-105.157,0.01,1.0,100.0,200.0,108.42,1.0,100,1.0,-77.8490532574,200,0.01,3.50449e-18
6114.8017,1.00292,0.00169347,0.7,0.0712041,-77.8722,-81.9858066528,6114.8017,1,66.8079,-81.9858066528,-98.0297,0.005,2.78938,186.83981975,183.536655606,113.52,0.339685,100,1.0897,-81.9858066528,200,0.0139062,1.76974e-06
4973.37843323,1.0,0.01,0.7,,-77.9474,-77.9473644055,4973.37843323,2,70.1687,-77.9473644055,-105.256,0.01,1.0,100.0,200.0,108.09,1.0,100,1.0,-77.9473644055,200,0.01,3.50449e-18
3770.83120454,1.00641,0.0027535,0.7,0.08375,-75.2061,-76.2954331037,3770.83120454,1,56.9799,-76.2954331037,-95.3406,0.005,2.99711,184.796140024,183.953299248,107.67,0.554227,100,1.08723,-76.2954331037,200,0.0148902,2.06718e-06
3774.42439292,1.0,0.01,0.7,,-74.7114,-74.7114391598,3774.42439292,2,61.1284,-74.7114391598,-102.02,0.01,1.0,100.0,200.0,105.24,1.0,100,1.0,-74.7114391598,200,0.01,3.50449e-18
6103.40520772,1.023,0.00410492,0.7,0.0508231,-77.4123,-81.679885449,6103.40520772,1,65.9847,-81.679885449,-97.116,0.005,2.18492,190.781204887,192.08435345,112.91,0.839863,100,1.04121,-81.679885449,200,0.010679,1.2141e-06
2574.28089488,1.0,0.01,0.7,,-72.8868,-72.8868093461,2574.28089488,2,50.483,-72.8868093461,-100.194,0.01,1.0,100.0,200.0,103.44,1.0,100,1.0,-72.8868093461,200,0.01,3.50449e-18
4961.07039704,1.01571,0.00338499,0.7,0.0520474,-74.6035,-78.1619298397,4961.07039704,1,55.397,-78.1619298397,-94.355,0.005,2.18185,190.440363696,191.156986779,108.98,0.687636,100,1.04626,-78.1619298397,200,0.0107405,1.26123e-06
6126.70926437,1.0,0.01,0.7,,-81.0625,-81.0625203618,6126.70926437,2,77.8809,-81.0625203618,-108.371,0.01,1.0,100.0,200.0,112.22,1.0,100,1.0,-81.0625203618,200,0.01,3.50449e-18
2580.9237864,0.973519,1.27049e-05,0.7,0.452518,-70.9745,-72.6865955421,2580.9237864,1,56.8404,-72.6865955421,-93.8874,0.005,2.10696,135.585555268,142.045900292,103.26,0.00247369,100,1.408,-72.6865955421,200,0.0108214,1.19368e-05
6042.55100179,1.0,0.01,0.7,,-83.6245,-83.6244594105,6042.55100179,2,77.3442,-83.6244594105,-110.933,0.01,1.0,100.0,200.0,116.16,1.0,100,1.0,-83.6244594105,200,0.01,3.50449e-18
8266.63554206,0.974429,3.77276e-05,0.7,0.263733,-81.9823,-89.3185166194,8266.63554206,1,73.8278,-89.3185166194,-103.723,0.005,3.13497,156.694640753,157.773857123,122.14,0.00735257,100,1.26764,-89.3185166194,200,0.0160862,6.94391e-06
2584.58141071,1.0,0.01,0.7,,-70.8354,-70.8353567329,2584.58141071,2,50.5839,-70.8353567329,-98.1421,0.01,1.0,100.0,200.0,100.92,1.0,100,1.0,-70.8353567329,200,0.01,3.50449e-18
6102.01138016,0.971566,9.35722e-05,0.7,0.13747,-73.7544,-81.2976299511,6102.01138016,1,60.5297,-81.2976299511,-94.1994,0.005,2.12782,174.686874507,178.409486664,112.5,0.0181823,100,1.12102,-81.2976299511,200,0.0109505,3.64085e-06
4931.34289823,1.0,0.01,0.7,,-78.8403,-78.8402578741,4931.34289823,2,69.8715,-78.8402578741,-106.148,0.01,1.0,100.0,200.0,109.98,1.0,100,1.0,-78.8402578741,200,0.01,3.50449e-18
2599.53390621,0.998088,0.00148198,0.7,0.0475928,-74.8754,-72.7833347887,2599.53390621,1,57.7749,-72.7833347887,-94.6169,0.005,1.56561,190.92418413,191.34925894,103.25,0.29583,100,1.04521,-72.7833347887,200,0.00784306,1.19438e-06
